Year-Week,Temperature,Humidity,Precipitation,Cases,Year,Population,Month,Week
2014-01-06,27.09949951172,84.22071838376,39.0999982358,0.0,2014,51264.0,1,2
2014-01-13,25.875213350571432,86.14761570522857,83.7999992371,0.0,2014,51264.0,1,3
2014-01-20,24.560927527300002,82.84093911305715,154.4000043868,0.0,2014,51264.0,1,4
2014-01-27,24.875213623057142,75.47827202934286,17.4000005574,0.0,2014,51264.0,1,5
2014-02-03,25.760928017757145,76.54849134174286,21.8999989481,0.0,2014,51264.0,2,6
2014-02-10,27.41807065691429,80.49227905274286,13.6000006944,0.0,2014,51264.0,2,7
2014-02-17,26.79664230347143,76.27909742082856,13.6999993846,0.0,2014,51264.0,2,8
2014-02-24,26.46807071141429,70.41613660541428,10.9000002146,0.0,2014,51264.0,2,9
2014-03-03,27.29664230347143,72.01579938614286,4.2000003011,2.0,2014,51264.0,3,10
2014-03-10,27.360927854285713,72.77840532575715,3.3000001013,0.0,2014,51264.0,3,11
2014-03-17,27.525213514057146,78.45804813928571,37.6000013949,0.0,2014,51264.0,3,12
2014-03-24,27.310927799757142,76.3330633981,40.6999983564,0.0,2014,51264.0,3,13
2014-03-31,28.239499228342858,81.39261191231428,28.2000024617,0.0,2014,51264.0,3,14
2014-04-07,28.86092812674286,75.14483642578571,3.6000001356,2.0,2014,51264.0,4,15
2014-04-14,28.118070874900003,79.53546578542857,41.4000046997,0.0,2014,51264.0,4,16
2014-04-21,27.360927854285713,84.99614061627142,316.499977827,2.0,2014,51264.0,4,17
2014-04-28,28.839499609814286,81.16810062952857,75.7999944389,1.0,2014,51264.0,4,18
2014-05-05,29.568070547914285,81.90341186524286,9.4000006019,0.0,2014,51264.0,5,19
2014-05-12,30.0537853241,75.72262682234285,21.1999998838,0.0,2014,51264.0,5,20
2014-05-19,30.082356316700004,75.63838740758571,14.4000004529,0.0,2014,51264.0,5,21
2014-05-26,29.8466420855,78.40873609271429,27.7000002861,1.0,2014,51264.0,5,22
2014-06-02,30.132356916157143,76.96356964112856,24.9000011683,0.0,2014,51264.0,6,23
2014-06-09,30.2323562077,74.78235517228572,30.1999998688,0.0,2014,51264.0,6,24
2014-06-16,30.339499337328572,74.84768022808571,41.000000894100005,1.0,2014,51264.0,6,25
2014-06-23,28.87521362304286,79.15604073659999,72.3999991417,1.0,2014,51264.0,6,26
2014-06-30,29.032356807185714,76.92115347725714,73.5999975204,0.0,2014,51264.0,6,27
2014-07-07,27.946642194485715,82.84883771622857,53.8000004291,1.0,2014,51264.0,7,28
2014-07-14,28.475213187085718,80.66084289551428,32.1000008583,0.0,2014,51264.0,7,29
2014-07-21,28.010927472785713,81.07135227747143,143.7000050545,0.0,2014,51264.0,7,30
2014-07-28,27.85378483364286,80.70721653528572,62.800006486499996,1.0,2014,51264.0,7,31
2014-08-04,28.225213459542857,79.13841356549999,22.2999996692,2.0,2014,51264.0,8,32
2014-08-11,29.689499173857143,73.16744886124286,0.8000000119,1.0,2014,51264.0,8,33
2014-08-18,29.51092774527143,73.3685913085857,49.5000002013,1.0,2014,51264.0,8,34
2014-08-25,28.82521356854286,78.93142700195713,46.600000143,5.0,2014,51264.0,8,35
2014-09-01,28.225213187085718,79.84344373431428,111.7999954224,2.0,2014,51264.0,9,36
2014-09-08,27.689499446328572,81.86631338937143,100.1000038386,1.0,2014,51264.0,9,37
2014-09-15,28.00378472464286,80.17941284178572,87.100001812,1.0,2014,51264.0,9,38
2014-09-22,28.66092790877143,78.23106820242857,77.9000002742,1.0,2014,51264.0,9,39
2014-09-29,29.41807065691429,76.26578521728571,36.399997591900004,3.0,2014,51264.0,9,40
2014-10-06,29.053785051614287,78.57346888949999,83.8000016212,2.0,2014,51264.0,10,41
2014-10-13,27.803784779157144,82.59349387032856,120.1999975442,1.0,2014,51264.0,10,42
2014-10-20,27.70378494264286,82.70735822402857,87.4000025987,0.0,2014,51264.0,10,43
2014-10-27,28.1037851061,82.26030513217142,61.0,0.0,2014,51264.0,10,44
2014-11-03,28.425213405057143,81.91006905692858,45.0999997855,0.0,2014,51264.0,11,45
2014-11-10,28.3466420855,74.47326605662856,12.900000289200001,2.0,2014,51264.0,11,46
2014-11-17,28.24664224897143,80.14096941267142,38.8000035285,0.0,2014,51264.0,11,47
2014-11-24,28.339499337342858,81.94693211147144,48.5000004768,0.0,2014,51264.0,11,48
2014-12-01,27.41092790877143,86.5369469778857,122.800005436,0.0,2014,51264.0,12,49
2014-12-08,27.475213732042857,83.19330378941429,122.2000114321,1.0,2014,51264.0,12,50
2014-12-15,27.78235626222857,82.08194078715714,55.199995771000005,1.0,2014,51264.0,12,51
2014-12-22,27.41807065692857,84.99389212471429,45.999999523199996,0.0,2014,51264.0,12,52
2014-12-29,27.24664224897143,84.81639971050001,56.5000004767,0.0,2014,51264.0,12,1
2015-01-05,26.596642357957144,85.44022478375715,108.7000069618,0.0,2015,52268.0,1,2
2015-01-12,26.332356044228572,78.9803314209,12.000000335300001,1.0,2015,52268.0,1,3
2015-01-19,26.168070929385717,80.48898206438571,31.399997785700002,1.0,2015,52268.0,1,4
2015-01-26,27.14664214,78.84844861712858,32.200000301,0.0,2015,52268.0,1,5
2015-02-02,26.58235658917143,80.50970458982856,17.7000004649,0.0,2015,52268.0,2,6
2015-02-09,26.046642031,75.41207449775713,4.900000155,2.0,2015,52268.0,2,7
2015-02-16,27.018070765900003,82.56047494072857,7.2000004053,3.0,2015,52268.0,2,8
2015-02-23,26.896642412457144,69.9315196446,2.7000001446,1.0,2015,52268.0,2,9
2015-03-02,27.739499500828572,71.26626150947143,3.8000001684,0.0,2015,52268.0,3,10
2015-03-09,27.710927963242856,73.33734239851428,10.400000304,1.0,2015,52268.0,3,11
2015-03-16,27.74664224897143,67.00084032331428,1.100000009,1.0,2015,52268.0,3,12
2015-03-23,28.568071092885713,63.29515729631429,1.200000003,0.0,2015,52268.0,3,13
2015-03-30,28.53949901037143,72.87407793317142,14.500000715199999,0.0,2015,52268.0,3,14
