Year-Week,Temperature,Humidity,Precipitation,Cases,Year,Population,Month,Week
2014-01-06,26.51249999998,81.60088653564,32.2999991179,0.0,2014,28444.4,1,2
2014-01-13,24.8882143838,85.47115979875714,65.7000026702,0.0,2014,28444.4,1,3
2014-01-20,23.652500152571427,82.34654017855713,97.5999966636,0.0,2014,28444.4,1,4
2014-01-27,24.11678586685714,73.91245106288571,13.9000009895,0.0,2014,28444.4,1,5
2014-02-03,24.938214165799998,75.72623770577142,31.5999993533,0.0,2014,28444.4,2,6
2014-02-10,27.166785921371428,76.42547389438572,15.100000679499999,0.0,2014,28444.4,2,7
2014-02-17,26.402500152585713,73.53701455252857,13.299998998700001,0.0,2014,28444.4,2,8
2014-02-24,25.909642900728574,68.40719876968572,8.7999998331,0.0,2014,28444.4,2,9
2014-03-03,26.966785975871428,68.23813356671428,2.6000002176,0.0,2014,28444.4,3,10
2014-03-10,27.0453575679,66.76576941354286,4.1000001133,0.0,2014,28444.4,3,11
2014-03-17,26.859642573742857,76.59898430961428,47.699999094,0.0,2014,28444.4,3,12
2014-03-24,26.716785975857142,73.07208251954286,32.099997729100004,0.0,2014,28444.4,3,13
2014-03-31,28.023928778485715,78.10342298232857,25.5000002161,0.0,2014,28444.4,3,14
2014-04-07,28.638214111314287,71.47777884347143,2.800000079,0.0,2014,28444.4,4,15
2014-04-14,27.931071690157143,73.90196228027142,38.6000001506,0.0,2014,28444.4,4,16
2014-04-21,26.988214492785712,82.02031162807143,310.3999978304,0.0,2014,28444.4,4,17
2014-04-28,28.36678586685714,76.42185647147143,61.6000038534,0.0,2014,28444.4,4,18
2014-05-05,29.423928669499997,77.765788487,8.800000369600001,0.0,2014,28444.4,5,19
2014-05-12,29.623928615014282,72.4170123509,13.7000002861,0.0,2014,28444.4,5,20
2014-05-19,29.681071962642857,71.06103951591429,13.5000004769,0.0,2014,28444.4,5,21
2014-05-26,29.488214492785712,73.55460248675715,26.8999995589,0.0,2014,28444.4,5,22
2014-06-02,29.631071635642854,72.91019875662857,20.8000009656,0.0,2014,28444.4,6,23
2014-06-09,29.402499880085713,74.81325748988571,30.2999994159,1.0,2014,28444.4,6,24
2014-06-16,29.49535724094286,76.19190216062857,36.9999992848,0.0,2014,28444.4,6,25
2014-06-23,27.809643336714284,80.00388009207143,67.5000011921,0.0,2014,28444.4,6,26
2014-06-30,28.30964251922857,77.76494380404286,71.2000017166,0.0,2014,28444.4,6,27
