Year-Week,Temperature,Humidity,Precipitation,Cases,Year,Population,Month,Week
2014-01-06,26.92900009156,81.05093536374,10.0000004546,0.0,2014,26847.6,1,2
2014-01-13,25.238999775499998,85.66608864921429,49.8999996782,0.0,2014,26847.6,1,3
2014-01-20,23.903284890314286,83.3475984846,40.6000032426,0.0,2014,26847.6,1,4
2014-01-27,24.560428074428568,74.2857246399,8.3999995292,0.0,2014,26847.6,1,5
2014-02-03,25.603284835857142,75.31262316022857,49.8999988586,0.0,2014,26847.6,2,6
2014-02-10,27.88185664585714,74.41676657539999,6.2999999523,0.0,2014,26847.6,2,7
2014-02-17,26.938999176014285,74.2220273699,4.3999999761,0.0,2014,26847.6,2,8
2014-02-24,26.524713516242855,68.57178878784285,3.1000000238,0.0,2014,26847.6,2,9
2014-03-03,27.496142523642856,66.9805859157,0.600000009,0.0,2014,26847.6,3,10
2014-03-10,27.91042818342857,64.56776482718571,0.1000000015,0.0,2014,26847.6,3,11
2014-03-17,27.367571149542858,75.95996420722857,44.999994993099996,0.0,2014,26847.6,3,12
2014-03-24,27.581856591371427,70.93571581159999,10.900001183199999,0.0,2014,26847.6,3,13
2014-03-31,28.58185659137143,77.37200273785713,11.600000061100001,0.0,2014,26847.6,3,14
2014-04-07,29.39614241467143,69.51051875521429,1.2000000476000001,0.0,2014,26847.6,4,15
2014-04-14,28.83185659134286,70.25222996302857,25.0999998003,0.0,2014,26847.6,4,16
2014-04-21,27.60328538077143,81.95242091585715,184.7999897599,0.0,2014,26847.6,4,17
2014-04-28,29.01757104057143,75.02543858118572,38.5000024215,1.0,2014,26847.6,4,18
2014-05-05,30.160428183414286,75.63343048095714,5.7000001148,0.0,2014,26847.6,5,19
2014-05-12,30.274713788728572,71.16096496581429,9.3000005336,0.0,2014,26847.6,5,20
2014-05-19,30.424713952199998,70.08026014055714,16.699999898599998,0.0,2014,26847.6,5,21
2014-05-26,30.224713461757144,71.37631225587143,24.6000000536,0.0,2014,26847.6,5,22
2014-06-02,30.24614252362857,72.18461717878571,21.399999857,0.0,2014,26847.6,6,23
2014-06-09,29.988999775471427,75.11509704591428,31.1000002623,1.0,2014,26847.6,6,24
2014-06-16,29.774714061185712,78.41875457762856,66.4000015259,0.0,2014,26847.6,6,25
2014-06-23,28.18185670035714,82.71189008440001,73.8000018596,0.0,2014,26847.6,6,26
2014-06-30,28.7747140612,78.09935433524286,79.7999973298,0.0,2014,26847.6,6,27
2014-07-07,27.49614252362857,84.78856658934286,112.10000133529999,2.0,2014,26847.6,7,28
2014-07-14,28.010428292414282,83.17198290144286,105.8000023366,1.0,2014,26847.6,7,29
2014-07-21,27.681856700342856,82.6628984723857,163.30000209809998,0.0,2014,26847.6,7,30
2014-07-28,27.638999666500002,82.56464385985714,84.8999996184,0.0,2014,26847.6,7,31
2014-08-04,27.553285326285714,82.24216461181429,65.9999995232,1.0,2014,26847.6,8,32
2014-08-11,29.38899912152857,73.17957959858572,12.5999994055,0.0,2014,26847.6,8,33
2014-08-18,29.610428401414286,72.35626547677143,73.20000076299999,0.0,2014,26847.6,8,34
2014-08-25,28.93185670037143,79.80501774378571,45.3999999166,0.0,2014,26847.6,8,35
2014-09-01,27.5532850538,80.67792184012856,63.1000018119,0.0,2014,26847.6,9,36
2014-09-08,27.560428346914286,83.59140123638572,119.599993229,0.0,2014,26847.6,9,37
2014-09-15,27.524713788714283,82.24547576904286,102.5999982357,0.0,2014,26847.6,9,38
2014-09-22,28.51757076808571,78.46041870118572,78.89999187,0.0,2014,26847.6,9,39
2014-09-29,29.73899923052857,72.46896907261429,31.500000059599998,0.0,2014,26847.6,9,40
2014-10-06,29.2032852173,76.12897491454285,77.9000000954,0.0,2014,26847.6,10,41
2014-10-13,27.12471362522857,84.04944610595714,147.3000057935,0.0,2014,26847.6,10,42
2014-10-20,27.79614257812857,79.74071175711428,56.699998378800004,0.0,2014,26847.6,10,43
