Year-Week,Temperature,Humidity,Precipitation,Cases,Year,Population,Month,Week
2014-01-06,26.847000122060003,82.05101776124,32.2999991179,0.0,2014,31934.2,1,2
2014-01-13,25.288429260271432,85.32519858224285,65.7000026702,1.0,2014,31934.2,1,3
2014-01-20,23.945572171914286,82.57555716377144,97.5999966636,0.0,2014,31934.2,1,4
2014-01-27,24.367000579842856,74.57058715821428,13.9000009895,0.0,2014,31934.2,1,5
2014-02-03,25.188429696228575,76.00739942277143,31.5999993533,0.0,2014,31934.2,2,6
2014-02-10,27.317000797814284,77.50201960972858,15.100000679499999,0.0,2014,31934.2,2,7
2014-02-17,26.65271486555714,73.95239584787143,13.299998998700001,1.0,2014,31934.2,2,8
2014-02-24,26.15271486555714,68.82083947317143,8.7999998331,0.0,2014,31934.2,2,9
2014-03-03,27.1098575592,69.6216833932,2.6000002176,0.0,2014,31934.2,3,10
2014-03-10,27.181286130642857,68.99508558001428,4.1000001133,0.0,2014,31934.2,3,11
2014-03-17,27.167000634342855,77.27018792288571,47.699999094,0.0,2014,31934.2,3,12
2014-03-24,26.95271464757143,74.48139081681428,32.099997729100004,1.0,2014,31934.2,3,13
2014-03-31,28.274143219014288,78.30380902971429,25.5000002161,0.0,2014,31934.2,3,14
2014-04-07,28.845572062914282,72.09412493025714,2.800000079,0.0,2014,31934.2,4,15
2014-04-14,27.97414370945714,76.57365744454286,38.6000001506,0.0,2014,31934.2,4,16
2014-04-21,27.195572171885715,82.52473122732856,310.3999978304,0.0,2014,31934.2,4,17
2014-04-28,28.552715029042854,77.81640951974285,61.6000038534,0.0,2014,31934.2,4,18
2014-05-05,29.509857722685716,78.79340362548571,8.800000369600001,0.0,2014,31934.2,5,19
2014-05-12,29.7955722809,73.13958031791428,13.7000002861,0.0,2014,31934.2,5,20
2014-05-19,29.76700074334286,72.30138070241428,13.5000004769,0.0,2014,31934.2,5,21
2014-05-26,29.517000470842856,75.64731161934286,26.8999995589,0.0,2014,31934.2,5,22
2014-06-02,29.72414370945714,74.43722098215714,20.8000009656,0.0,2014,31934.2,6,23
2014-06-09,29.474143436985713,75.63689422605715,30.2999994159,0.0,2014,31934.2,6,24
2014-06-16,29.567000525357145,76.41275351388572,36.9999992848,1.0,2014,31934.2,6,25
2014-06-23,27.938429151257143,80.64836229598572,67.5000011921,1.0,2014,31934.2,6,26
2014-06-30,28.38128634862857,78.15150233677143,71.2000017166,0.0,2014,31934.2,6,27
2014-07-07,27.145571844942857,83.59428732737142,73.1000018119,0.0,2014,31934.2,7,28
2014-07-14,27.638428824285715,82.34248679024286,48.6999974251,0.0,2014,31934.2,7,29
2014-07-21,27.388428824285715,82.13713291714285,149.4000010489,1.0,2014,31934.2,7,30
