Year-Week,Temperature,Humidity,Precipitation,Cases,Year,Population,Month,Week
2014-01-06,26.889500427259996,80.56994628908001,32.2999991179,0.0,2014,53690.2,1,2
2014-01-13,25.29092924935714,83.7590255737143,65.7000026702,0.0,2014,53690.2,1,3
2014-01-20,24.08378628322857,81.47744315011428,97.5999966636,0.0,2014,53690.2,1,4
2014-01-27,24.4123578753,73.77576501028571,13.9000009895,0.0,2014,53690.2,1,5
2014-02-03,25.16950035097143,75.64115469795715,31.5999993533,0.0,2014,53690.2,2,6
2014-02-10,27.383786065257144,76.45915876117144,15.100000679499999,0.0,2014,53690.2,2,7
2014-02-17,26.755215236142856,72.56070436747143,13.299998998700001,0.0,2014,53690.2,2,8
2014-02-24,26.2266434261,67.52099391392856,8.7999998331,0.0,2014,53690.2,2,9
2014-03-03,27.2266434261,67.59146935598571,2.6000002176,0.0,2014,53690.2,3,10
2014-03-10,27.36950084142857,66.2972101484,4.1000001133,0.0,2014,53690.2,3,11
2014-03-17,27.20521545411429,75.21766172135715,47.699999094,0.0,2014,53690.2,3,12
2014-03-24,27.090929031385713,72.3704801287,32.099997729100004,0.0,2014,53690.2,3,13
2014-03-31,28.376644134542858,76.36118752617143,25.5000002161,0.0,2014,53690.2,3,14
2014-04-07,29.0266434806,69.2194442749143,2.800000079,0.0,2014,53690.2,4,15
2014-04-14,28.28378622874286,71.99087796891429,38.6000001506,0.0,2014,53690.2,4,16
2014-04-21,27.34092930387143,80.72417558941429,310.3999978304,0.0,2014,53690.2,4,17
2014-04-28,28.612358365771428,75.80013820102856,61.6000038534,0.0,2014,53690.2,4,18
2014-05-05,29.648072378985717,76.20050266811428,8.800000369600001,0.0,2014,53690.2,5,19
2014-05-12,29.833786555714287,72.20035443985714,13.7000002861,0.0,2014,53690.2,5,20
2014-05-19,29.890929085871427,70.72358921597143,13.5000004769,1.0,2014,53690.2,5,21
2014-05-26,29.683786664714287,73.14539228167143,26.8999995589,0.0,2014,53690.2,5,22
2014-06-02,29.79092924937143,72.67300415039999,20.8000009656,0.0,2014,53690.2,6,23
2014-06-09,29.440929412857145,75.60342298235715,30.2999994159,0.0,2014,53690.2,6,24
2014-06-16,29.5266434806,77.58344595772857,36.9999992848,0.0,2014,53690.2,6,25
2014-06-23,27.876643862057144,80.89544895715714,67.5000011921,0.0,2014,53690.2,6,26
2014-06-30,28.455214636685717,78.72559247698571,71.2000017166,0.0,2014,53690.2,6,27
2014-07-07,27.169500895914286,84.0243018014,73.1000018119,0.0,2014,53690.2,7,28
2014-07-14,27.598072052014288,83.08254241942858,48.6999974251,0.0,2014,53690.2,7,29
2014-07-21,27.533786501214284,82.65103694371429,149.4000010489,1.0,2014,53690.2,7,30
2014-07-28,27.34092930387143,81.44799586704286,75.0000011923,1.0,2014,53690.2,7,31
2014-08-04,27.4123578753,81.38455636162858,32.5000005066,1.0,2014,53690.2,8,32
