Year-Week,Temperature,Humidity,Precipitation,Cases,Year,Population,Month,Week
2014-01-06,26.55299949646,82.62409667968,63.2000021935,2.0,2014,14845.6,1,2
2014-01-13,24.8544278826,87.6532788958,141.9000034332,0.0,2014,14845.6,1,3
2014-01-20,23.525856835485715,84.67342703684287,91.7000060082,0.0,2014,14845.6,1,4
2014-01-27,24.29728535244286,74.58728626797142,18.9999998212,0.0,2014,14845.6,1,5
2014-02-03,25.161570957714282,77.14415631974285,39.6999996305,0.0,2014,14845.6,2,6
2014-02-10,27.490142277314284,76.15705871579999,30.300004065000003,0.0,2014,14845.6,2,7
2014-02-17,26.497285297928574,75.28053338185714,39.2000020295,0.0,2014,14845.6,2,8
2014-02-24,26.104428155071428,70.48515755788571,36.0000006707,0.0,2014,14845.6,2,9
2014-03-03,27.018713542385715,70.87157767160001,8.2000003605,0.0,2014,14845.6,3,10
2014-03-10,27.040142331800002,69.64902659825715,11.999999985,0.0,2014,14845.6,3,11
2014-03-17,26.854428155071428,78.99125017438571,75.4999964237,0.0,2014,14845.6,3,12
2014-03-24,26.79728535242857,74.0305219378,92.9000003338,0.0,2014,14845.6,3,13
2014-03-31,28.261570794214286,79.1315787179,50.399999499399996,0.0,2014,14845.6,3,14
2014-04-07,28.84014184134286,73.66379547118572,9.300000108799999,0.0,2014,14845.6,4,15
2014-04-14,28.0615711212,75.94774682181428,26.0000020861,0.0,2014,14845.6,4,16
2014-04-21,27.075856617514287,83.62410736082857,182.20000195510002,0.0,2014,14845.6,4,17
2014-04-28,28.71871376035714,76.41966901507143,66.4999977351,0.0,2014,14845.6,4,18
2014-05-05,29.88299969264286,77.58336094447144,18.0000007152,0.0,2014,14845.6,5,19
2014-05-12,30.04728507994286,72.37717492238572,25.0000003129,1.0,2014,14845.6,5,20
2014-05-19,30.175856454028573,71.01694270542858,18.7000000477,0.0,2014,14845.6,5,21
2014-05-26,30.01871381485714,72.54839433942857,28.9000005722,0.0,2014,14845.6,5,22
2014-06-02,30.197285243442856,72.05642046244286,21.7999999077,0.0,2014,14845.6,6,23
2014-06-09,30.27585629054286,72.14400482177143,43.8999999762,0.0,2014,14845.6,6,24
