Year-Week,Temperature,Humidity,Precipitation,Cases,Year,Population,Month,Week
2014-01-06,26.71300086976,84.39483795166,39.0999982358,0.0,2014,80367.8,1,2
2014-01-13,25.64442934308571,85.67668914795715,83.7999992371,0.0,2014,80367.8,1,3
2014-01-20,24.480143410814286,82.52739933557143,154.4000043868,0.0,2014,80367.8,1,4
2014-01-27,24.651572091242855,75.63609967912858,17.4000005574,0.0,2014,80367.8,1,5
2014-02-03,25.46585764202857,77.07133919851428,21.8999989481,0.0,2014,80367.8,2,6
2014-02-10,26.865858078,82.43484715051429,13.6000006944,0.0,2014,80367.8,2,7
2014-02-17,26.34442928858571,77.06183842248572,13.6999993846,0.0,2014,80367.8,2,8
2014-02-24,26.037286485942854,71.7204121180857,10.9000002146,0.0,2014,80367.8,2,9
2014-03-03,26.701572145742855,74.09135328021429,4.2000003011,0.0,2014,80367.8,3,10
2014-03-10,26.730143410814286,75.16112954277142,3.3000001013,1.0,2014,80367.8,3,11
2014-03-17,26.9587148939,79.80472455705714,37.6000013949,0.0,2014,80367.8,3,12
2014-03-24,26.873000826157142,77.66172899517143,40.6999983564,0.0,2014,80367.8,3,13
2014-03-31,27.59442928858571,83.01398359028572,28.2000024617,0.0,2014,80367.8,3,14
2014-04-07,28.15157209122857,77.55784606932856,3.6000001356,0.0,2014,80367.8,4,15
2014-04-14,27.530143737785714,80.70884486607143,41.4000046997,0.0,2014,80367.8,4,16
2014-04-21,26.858715057371427,86.09695870537143,316.499977827,0.0,2014,80367.8,4,17
2014-04-28,28.3158580235,81.91276659284286,75.7999944389,0.0,2014,80367.8,4,18
2014-05-05,28.937286376942858,82.72771998815713,9.4000006019,0.0,2014,80367.8,5,19
2014-05-12,29.43728637695714,77.82373046875715,21.1999998838,0.0,2014,80367.8,5,20
2014-05-19,29.508714948385713,77.7950036185,14.4000004529,0.0,2014,80367.8,5,21
2014-05-26,29.2801437378,79.49828011647142,27.7000002861,0.0,2014,80367.8,5,22
2014-06-02,29.61585780552857,78.19542040144286,24.9000011683,0.0,2014,80367.8,6,23
2014-06-09,29.851572036728573,75.90472848075714,30.1999998688,1.0,2014,80367.8,6,24
2014-06-16,30.101572036742855,75.13597760881429,41.000000894100005,0.0,2014,80367.8,6,25
2014-06-23,28.81585775102857,78.27425275531428,72.3999991417,0.0,2014,80367.8,6,26
2014-06-30,28.89442934308571,76.36535317557143,73.5999975204,0.0,2014,80367.8,6,27
2014-07-07,27.858714784885713,82.28089032852857,53.8000004291,0.0,2014,80367.8,7,28
2014-07-14,28.37300109862857,80.03786577495714,32.1000008583,0.0,2014,80367.8,7,29
2014-07-21,27.815857478542856,80.99778093611428,143.7000050545,0.0,2014,80367.8,7,30
2014-07-28,27.730143683314285,80.258240836,62.800006486499996,0.0,2014,80367.8,7,31
2014-08-04,28.15871511184286,78.5878982543857,22.2999996692,2.0,2014,80367.8,8,32
2014-08-11,29.523000717171424,73.07529449462857,0.8000000119,0.0,2014,80367.8,8,33
2014-08-18,29.20871516635714,73.75858197892856,49.5000002013,1.0,2014,80367.8,8,34
2014-08-25,28.487286703914286,79.27282605851428,46.600000143,3.0,2014,80367.8,8,35
2014-09-01,27.93728637695714,79.59603772844285,111.7999954224,1.0,2014,80367.8,9,36
2014-09-08,27.39442934308571,82.80456324985714,100.1000038386,1.0,2014,80367.8,9,37
2014-09-15,27.880143301814286,79.60820661271428,87.100001812,0.0,2014,80367.8,9,38
2014-09-22,28.473000390185714,77.97210148401429,77.9000002742,2.0,2014,80367.8,9,39
2014-09-29,29.01585769654286,76.69913155691428,36.399997591900004,0.0,2014,80367.8,9,40
2014-10-06,28.723000662671428,78.15663909912857,83.8000016212,0.0,2014,80367.8,10,41
2014-10-13,27.615858078014288,82.39975302561427,120.1999975442,1.0,2014,80367.8,10,42
2014-10-20,27.351572036757144,83.30708966937142,87.4000025987,3.0,2014,80367.8,10,43
2014-10-27,27.64442934307143,83.0990938459,61.0,1.0,2014,80367.8,10,44
2014-11-03,27.9587146214,82.59070042202858,45.0999997855,4.0,2014,80367.8,11,45
2014-11-10,27.908715111871427,75.08311407907142,12.900000289200001,0.0,2014,80367.8,11,46
2014-11-17,27.801572254742858,80.53126525879999,38.8000035285,0.0,2014,80367.8,11,47
2014-11-24,27.80871527535714,83.05297960552856,48.5000004768,4.0,2014,80367.8,11,48
2014-12-01,27.037286213457143,87.10410853794285,122.800005436,0.0,2014,80367.8,12,49
2014-12-08,27.165857860014285,83.36415863037143,122.2000114321,0.0,2014,80367.8,12,50
2014-12-15,27.38728632247143,82.7114137922,55.199995771000005,1.0,2014,80367.8,12,51
2014-12-22,26.980143683285714,85.3031125749857,45.999999523199996,0.0,2014,80367.8,12,52
2014-12-29,26.865857805514285,85.49616241454285,56.5000004767,0.0,2014,80367.8,12,1
2015-01-05,26.1801436288,86.30897630964286,108.7000069618,0.0,2015,43159.0,1,2
2015-01-12,25.987286703928568,79.10077122279999,12.000000335300001,1.0,2015,43159.0,1,3
2015-01-19,25.7801437378,81.28852081298571,31.399997785700002,0.0,2015,43159.0,1,4
2015-01-26,26.723000662657142,80.00234113421428,32.200000301,2.0,2015,43159.0,1,5
2015-02-02,26.223000935142856,80.81339372905714,17.7000004649,0.0,2015,43159.0,2,6
2015-02-09,25.623000826171427,76.48567526680002,4.900000155,0.0,2015,43159.0,2,7
2015-02-16,26.473000662671428,83.38251059394285,7.2000004053,1.0,2015,43159.0,2,8
2015-02-23,26.34442928858571,72.5704536438,2.7000001446,1.0,2015,43159.0,2,9
2015-03-02,27.101572036742855,74.52066584994284,3.8000001684,0.0,2015,43159.0,3,10
2015-03-09,27.101572309214284,75.77115195137142,10.400000304,0.0,2015,43159.0,3,11
2015-03-16,26.980143683285714,71.13001687185714,1.100000009,1.0,2015,43159.0,3,12
2015-03-23,27.808715002871427,67.96123559132857,1.200000003,0.0,2015,43159.0,3,13
2015-03-30,27.758714948371427,76.22007642472856,14.500000715199999,0.0,2015,43159.0,3,14
2015-04-06,28.594429016114283,71.13463810511429,8.1000000537,1.0,2015,43159.0,4,15
2015-04-13,28.25157220022857,74.1821746826,9.1000000834,0.0,2015,43159.0,4,16
