Year-Week,Temperature,Humidity,Precipitation,Cases,Year,Population,Month,Week
2014-01-06,26.715499877920003,83.19797668456,39.0999982358,0.0,2014,68508.0,1,2
2014-01-13,25.738356999,83.52469417027143,83.7999992371,0.0,2014,68508.0,1,3
2014-01-20,24.459785733914288,81.6604537964,154.4000043868,0.0,2014,68508.0,1,4
2014-01-27,24.645499910642858,74.67926842825715,17.4000005574,0.0,2014,68508.0,1,5
2014-02-03,25.374071393700003,76.76220485141428,21.8999989481,0.0,2014,68508.0,2,6
2014-02-10,26.695499965114287,82.68632507324286,13.6000006944,0.0,2014,68508.0,2,7
2014-02-17,26.216928482042857,76.6428309849143,13.6999993846,0.0,2014,68508.0,2,8
2014-02-24,26.02407101224286,70.97491673061428,10.9000002146,0.0,2014,68508.0,2,9
2014-03-03,26.595500128628572,73.76357378278571,4.2000003011,0.0,2014,68508.0,3,10
2014-03-10,26.638356889985715,74.84001704622857,3.3000001013,0.0,2014,68508.0,3,11
2014-03-17,27.00978551592857,78.38245282855713,37.6000013949,0.0,2014,68508.0,3,12
2014-03-24,26.95978518895714,76.17672184535715,40.6999983564,0.0,2014,68508.0,3,13
2014-03-31,27.424071448185714,83.1306392124857,28.2000024617,0.0,2014,68508.0,3,14
2014-04-07,27.945499965142858,78.05355616978571,3.6000001356,0.0,2014,68508.0,4,15
2014-04-14,27.5383570535,79.53536224364287,41.4000046997,0.0,2014,68508.0,4,16
2014-04-21,26.71692875452857,85.60285077777144,316.499977827,0.0,2014,68508.0,4,17
2014-04-28,28.08121381487143,82.1398805890857,75.7999944389,0.0,2014,68508.0,4,18
2014-05-05,28.681214196357143,82.41561889647143,9.4000006019,0.0,2014,68508.0,5,19
2014-05-12,29.20978546142857,78.48959568568571,21.1999998838,0.0,2014,68508.0,5,20
2014-05-19,29.245500019628572,78.71688951764285,14.4000004529,0.0,2014,68508.0,5,21
2014-05-26,29.0955001286,79.25786917551429,27.7000002861,2.0,2014,68508.0,5,22
2014-06-02,29.309785297928574,78.79836382185714,24.9000011683,0.0,2014,68508.0,6,23
2014-06-09,29.495500292099997,77.23591613768572,30.1999998688,0.0,2014,68508.0,6,24
2014-06-16,29.90978540692857,75.74805995395715,41.000000894100005,0.0,2014,68508.0,6,25
2014-06-23,28.774071012214286,78.2354006086143,72.3999991417,0.0,2014,68508.0,6,26
2014-06-30,28.64549963814286,77.31634739467142,73.5999975204,1.0,2014,68508.0,6,27
2014-07-07,27.7883570535,82.1395274571,53.8000004291,2.0,2014,68508.0,7,28
2014-07-14,28.302642549785713,79.88175855364285,32.1000008583,0.0,2014,68508.0,7,29
2014-07-21,27.602642331814284,81.7309929983857,143.7000050545,0.0,2014,68508.0,7,30
2014-07-28,27.71692848207143,79.95702144079999,62.800006486499996,1.0,2014,68508.0,7,31
2014-08-04,28.124070848757146,79.12268066405714,22.2999996692,0.0,2014,68508.0,8,32
2014-08-11,29.316927773614285,74.02931104388573,0.8000000119,4.0,2014,68508.0,8,33
2014-08-18,28.909785679414288,74.17465536935715,49.5000002013,1.0,2014,68508.0,8,34
2014-08-25,28.209785188957145,80.12229047502856,46.600000143,0.0,2014,68508.0,8,35
2014-09-01,27.695499965128572,79.92768641878571,111.7999954224,1.0,2014,68508.0,9,36
2014-09-08,27.14549963814286,83.7124710083,100.1000038386,0.0,2014,68508.0,9,37
2014-09-15,27.724071230214285,79.99167415072857,87.100001812,0.0,2014,68508.0,9,38
2014-09-22,28.309785842914287,78.58101109095715,77.9000002742,1.0,2014,68508.0,9,39
2014-09-29,28.595499856142858,77.71954999649999,36.399997591900004,0.0,2014,68508.0,9,40
2014-10-06,28.2526424953,79.21611567904286,83.8000016212,0.0,2014,68508.0,10,41
2014-10-13,27.352642604285712,83.09102848598572,120.1999975442,0.0,2014,68508.0,10,42
2014-10-20,27.245499474657144,83.02905600412858,87.4000025987,0.0,2014,68508.0,10,43
2014-10-27,27.495499474657144,82.80311911445713,61.0,1.0,2014,68508.0,10,44
2014-11-03,27.83121381487143,82.44770812988573,45.0999997855,1.0,2014,68508.0,11,45
2014-11-10,27.752642495285716,75.07965523855715,12.900000289200001,0.0,2014,68508.0,11,46
2014-11-17,27.645499910614287,80.46075330461429,38.8000035285,0.0,2014,68508.0,11,47
2014-11-24,27.65978540692857,83.13292585102856,48.5000004768,0.0,2014,68508.0,11,48
2014-12-01,27.002642767771427,86.39880807058572,122.800005436,2.0,2014,68508.0,12,49
2014-12-08,27.13835689,82.58882359097143,122.2000114321,1.0,2014,68508.0,12,50
2014-12-15,27.252642767757145,82.96062469482857,55.199995771000005,0.0,2014,68508.0,12,51
2014-12-22,26.931213923871432,84.52441624232857,45.999999523199996,0.0,2014,68508.0,12,52
2014-12-29,26.802642549785713,85.01885441371428,56.5000004767,0.0,2014,68508.0,12,1
2015-01-05,26.01692880902857,86.11043875558572,108.7000069618,0.0,2015,48546.0,1,2
2015-01-12,25.988356999,78.09903771535714,12.000000335300001,0.0,2015,48546.0,1,3
2015-01-19,25.638356890000004,81.12490081788572,31.399997785700002,0.0,2015,48546.0,1,4
2015-01-26,26.495499747142862,80.22178976877142,32.200000301,0.0,2015,48546.0,1,5
2015-02-02,26.152642658785716,80.07605307441429,17.7000004649,0.0,2015,48546.0,2,6
2015-02-09,25.50978551592857,76.28068215504285,4.900000155,0.0,2015,48546.0,2,7
2015-02-16,26.259785515914285,83.03296879358572,7.2000004053,0.0,2015,48546.0,2,8
2015-02-23,26.266928264071428,72.85478864397143,2.7000001446,0.0,2015,48546.0,2,9
2015-03-02,26.966928209557143,74.98620060511428,3.8000001684,0.0,2015,48546.0,3,10
2015-03-09,27.052642549785713,75.15484946112858,10.400000304,0.0,2015,48546.0,3,11
2015-03-16,26.83835710798572,71.71294457571429,1.100000009,0.0,2015,48546.0,3,12
2015-03-23,27.38835661752857,70.05429949077143,1.200000003,0.0,2015,48546.0,3,13
2015-03-30,27.588356835485715,76.27023860387143,14.500000715199999,0.0,2015,48546.0,3,14
2015-04-06,28.2026424408,72.98560987201428,8.1000000537,0.0,2015,48546.0,4,15
2015-04-13,28.024071012214286,74.57036045618572,9.1000000834,0.0,2015,48546.0,4,16
2015-04-20,28.316928318571428,78.05166843960001,26.2999996544,0.0,2015,48546.0,4,17
