Year-Week,Temperature,Humidity,Precipitation,Cases,Year,Population,Month,Week
2014-01-06,27.715000152560002,76.84147491456,10.0000004546,2.0,2014,47370.0,1,2
2014-01-13,26.112142835328573,79.26089368547143,49.8999996782,1.0,2014,47370.0,1,3
2014-01-20,24.82642854961429,78.69443184988572,40.6000032426,0.0,2014,47370.0,1,4
2014-01-27,25.12642860412857,71.72160502842857,8.3999995292,0.0,2014,47370.0,1,5
2014-02-03,26.097857066557143,72.11197444371429,49.8999988586,0.0,2014,47370.0,2,6
2014-02-10,28.07642827715714,73.09328569684286,6.2999999523,1.0,2014,47370.0,2,7
2014-02-17,27.32642854961429,70.80926513671429,4.3999999761,0.0,2014,47370.0,2,8
2014-02-24,27.112143107814287,64.05569512504285,3.1000000238,0.0,2014,47370.0,2,9
2014-03-03,28.254999705714287,61.590309688014294,0.600000009,2.0,2014,47370.0,3,10
2014-03-10,28.883571352271428,58.70371028354286,0.1000000015,0.0,2014,47370.0,3,11
2014-03-17,28.59785733902857,67.22832271031429,44.999994993099996,1.0,2014,47370.0,3,12
2014-03-24,28.654999596742858,64.9009966169,10.900001183199999,2.0,2014,47370.0,3,13
2014-03-31,29.51928601944286,69.57564108712857,11.600000061100001,0.0,2014,47370.0,3,14
2014-04-07,30.60500008717143,59.92695835657143,1.2000000476000001,0.0,2014,47370.0,4,15
2014-04-14,30.369285583485716,59.305509294800004,25.0999998003,0.0,2014,47370.0,4,16
2014-04-21,28.554999487757147,76.25681522912858,184.7999897599,0.0,2014,47370.0,4,17
2014-04-28,29.39071464537143,72.15030125208571,38.5000024215,0.0,2014,47370.0,4,18
2014-05-05,30.290714263900004,70.83123125348571,5.7000001148,0.0,2014,47370.0,5,19
2014-05-12,30.54071399142857,68.2387537275,9.3000005336,1.0,2014,47370.0,5,20
2014-05-19,30.526428495128574,68.6147101266,16.699999898599998,9.0,2014,47370.0,5,21
2014-05-26,30.212142944342855,69.9243774414143,24.6000000536,3.0,2014,47370.0,5,22
