Year-Week,Temperature,Humidity,Precipitation,Cases,Year,Population,Month,Week
2014-01-06,26.74300003052,77.26962738035999,17.2999997661,0.0,2014,30169.0,1,2
2014-01-13,25.117285592228573,80.22860608782857,45.3999985232,0.0,2014,30169.0,1,3
2014-01-20,23.8958571298,79.7916924613,33.8999967575,1.0,2014,30169.0,1,4
2014-01-27,24.181571143028574,72.22056634087143,5.699999049300001,0.0,2014,30169.0,1,5
2014-02-03,25.181571415514288,72.10512433732858,49.399998486,0.0,2014,30169.0,2,6
2014-02-10,27.295857020785714,72.42288752964285,11.099999465,0.0,2014,30169.0,2,7
2014-02-17,26.3958568573,71.35364859444286,12.899999655899999,0.0,2014,30169.0,2,8
2014-02-24,26.031571252028574,64.90235464914285,1.2000000477000001,0.0,2014,30169.0,2,9
2014-03-03,27.188714163657146,62.408158438557145,1.0000000373,0.0,2014,30169.0,3,10
2014-03-10,27.67442839485714,59.745737893257136,0.7000000179000001,0.0,2014,30169.0,3,11
2014-03-17,27.502999986928575,68.2543460301,36.0999993085,0.0,2014,30169.0,3,12
2014-03-24,27.745856693828575,64.61991446358572,8.0000000149,0.0,2014,30169.0,3,13
2014-03-31,28.538714272657142,70.1569420951,24.1999997869,0.0,2014,30169.0,3,14
2014-04-07,29.41728510175714,60.707499367857146,0.8000000119,0.0,2014,30169.0,4,15
2014-04-14,29.117285864699998,60.447729928171434,13.199999883799999,0.0,2014,30169.0,4,16
2014-04-21,27.545856748314286,77.23414720808572,159.20000028610002,0.0,2014,30169.0,4,17
2014-04-28,28.474428176900002,71.89114488872858,31.199999153700002,0.0,2014,30169.0,4,18
2014-05-05,29.353000095914286,70.71220724921429,10.1999998242,1.0,2014,30169.0,5,19
2014-05-12,29.502999441985715,67.8610660008,12.199999928499999,0.0,2014,30169.0,5,20
2014-05-19,29.560142789571426,68.4305981227,30.8999986053,0.0,2014,30169.0,5,21
2014-05-26,29.324428558357145,69.13347625731429,43.700000763,0.0,2014,30169.0,5,22
2014-06-02,29.167285646714284,71.75721304757143,41.1000000237,2.0,2014,30169.0,6,23
2014-06-09,28.66728537424286,74.79135567799999,43.5,0.0,2014,30169.0,6,24
2014-06-16,28.03157097954286,82.15544782365714,92.2000064849,2.0,2014,30169.0,6,25
2014-06-23,26.58157103402857,86.88959176198571,102.49999380119999,5.0,2014,30169.0,6,26
2014-06-30,27.35300009592857,79.61050306047143,86.20000672329999,5.0,2014,30169.0,6,27
2014-07-07,26.138714109142857,86.46592603411429,115.1999940873,1.0,2014,30169.0,7,28
2014-07-14,26.27442850385714,88.23334612165715,162.7000036238,8.0,2014,30169.0,7,29
2014-07-21,26.26014300757143,84.24639456612856,177.7000069619,4.0,2014,30169.0,7,30
2014-07-28,26.26728521077143,84.51100376674286,100.9999935628,2.0,2014,30169.0,7,31
2014-08-04,26.002999986928575,86.3619984218,104.5000052452,4.0,2014,30169.0,8,32
2014-08-11,27.631571088528574,77.85537392754286,24.1000006721,2.0,2014,30169.0,8,33
2014-08-18,27.802999768942858,75.0449709211,96.40000200269999,4.0,2014,30169.0,8,34
2014-08-25,27.581571034014285,82.50602722168571,73.8000024557,2.0,2014,30169.0,8,35
2014-09-01,26.33871432714286,80.38472747804285,86.0999965669,1.0,2014,30169.0,9,36
2014-09-08,26.21728542874286,84.06676701135714,153.0999908448,2.0,2014,30169.0,9,37
2014-09-15,25.867285592228573,85.26141248431429,133.3000009059,3.0,2014,30169.0,9,38
2014-09-22,26.924428122385713,81.05245535714286,92.5999983326,0.0,2014,30169.0,9,39
2014-09-29,28.22442844935714,74.17206464495715,57.4999994038,0.0,2014,30169.0,9,40
2014-10-06,27.410142353614283,79.77124677387143,58.8000016212,3.0,2014,30169.0,10,41
2014-10-13,25.502999714442858,87.47509329658571,168.50000143059998,0.0,2014,30169.0,10,42
2014-10-20,27.08871432712857,79.03624725341429,95.40000009529999,1.0,2014,30169.0,10,43
2014-10-27,28.09585680281429,74.47471182687143,43.800000429099995,0.0,2014,30169.0,10,44
2014-11-03,27.867285319757144,75.47736903598572,27.0000004768,1.0,2014,30169.0,11,45
2014-11-10,27.81728553772857,69.51675088064286,8.7999992521,2.0,2014,30169.0,11,46
2014-11-17,28.045856748314286,72.25717054094285,22.200000681,0.0,2014,30169.0,11,47
2014-11-24,28.338714054642857,74.50591278075714,29.1000005006,0.0,2014,30169.0,11,48
2014-12-01,27.117285319728573,82.14058358327144,80.6000027211,0.0,2014,30169.0,12,49
2014-12-08,27.002999986928575,76.54584394181428,43.7999964952,0.0,2014,30169.0,12,50
2014-12-15,26.995856693828575,77.96144104004286,26.400000773400002,0.0,2014,30169.0,12,51
2014-12-22,26.810142517114286,77.4619936262,13.9000002891,0.0,2014,30169.0,12,52
2014-12-29,26.97442844935714,77.51076180594285,2.4000000506,0.0,2014,30169.0,12,1
2015-01-05,25.9958569663,79.77460915701428,35.599997460800004,0.0,2015,49875.0,1,2
2015-01-12,26.031571252014285,71.90759931292857,1.5000000745,0.0,2015,49875.0,1,3
2015-01-19,26.231571470014284,71.41820526122856,4.7999998331,0.0,2015,49875.0,1,4
2015-01-26,26.78871427262857,74.48549216132857,26.3999990002,0.0,2015,49875.0,1,5
2015-02-02,26.46728542872857,72.98298209054285,2.5000001044,0.0,2015,49875.0,2,6
2015-02-09,26.174428394871427,65.937474932,1.4000000954,0.0,2015,49875.0,2,7
2015-02-16,27.688714163642857,67.61769430978572,8.5000004172,0.0,2015,49875.0,2,8
2015-02-23,27.102999823457143,61.01510947092857,0.0,0.0,2015,49875.0,2,9
2015-03-02,28.195857184285718,59.3102722168,0.0,0.0,2015,49875.0,3,10
2015-03-09,28.617285592214284,59.06483786445715,0.5000000149,0.0,2015,49875.0,3,11
2015-03-16,28.752999714442858,52.77432032992857,0.200000003,0.0,2015,49875.0,3,12
2015-03-23,29.417285374257144,48.072114127,2.3000000715,0.0,2015,49875.0,3,13
2015-03-30,29.27442850387143,57.881644112742855,0.9000000134,0.0,2015,49875.0,3,14
2015-04-06,30.917285646728573,50.6670853751,1.4000000134000001,0.0,2015,49875.0,4,15
2015-04-13,30.4172859192,51.65985706875714,1.7000000178999999,2.0,2015,49875.0,4,16
2015-04-20,30.452999659957147,58.81663894652858,23.2999992668,0.0,2015,49875.0,4,17
2015-04-27,30.97442844935714,52.89932087491429,6.999999858400001,0.0,2015,49875.0,4,18
2015-05-04,30.317286082685712,58.45408303395714,57.4999997169,1.0,2015,49875.0,5,19
2015-05-11,29.65300015042857,61.366168430857144,9.0000003575,0.0,2015,49875.0,5,20
2015-05-18,31.095857347785714,52.58770806447143,7.2000000775,0.0,2015,49875.0,5,21
2015-05-25,30.152999877942857,60.2458681379,28.4000013248,0.0,2015,49875.0,5,22
2015-06-01,29.78871427264286,66.24279948642858,17.6999999286,1.0,2015,49875.0,6,23
2015-06-08,30.045857020800003,65.38941138132857,36.2999981642,1.0,2015,49875.0,6,24
2015-06-15,29.938713891185717,68.64233834401429,96.79999971390001,2.0,2015,49875.0,6,25
2015-06-22,27.324428285871427,80.72255924768571,108.6999988556,0.0,2015,49875.0,6,26
2015-06-29,28.27442877634286,74.65713500977142,58.9999999999,1.0,2015,49875.0,6,27
2015-07-06,25.231571197514285,88.89249420165713,295.2000017166,1.0,2015,49875.0,7,28
2015-07-13,25.9958569663,88.56033979142856,150.9000015258,0.0,2015,49875.0,7,29
2015-07-20,27.981571197528574,76.83215114048572,4.6999999657,0.0,2015,49875.0,7,30
2015-07-27,28.131571088514285,72.65308761597143,49.2999988571,0.0,2015,49875.0,7,31
2015-08-03,27.3387137822,80.52101026262858,92.3000044822,2.0,2015,49875.0,8,32
2015-08-10,25.803000041414286,86.66755240304285,176.400007248,2.0,2015,49875.0,8,33
2015-08-17,27.91728537424286,80.15576934814285,65.40000164509999,2.0,2015,49875.0,8,34
2015-08-24,26.57442883084286,82.92146846225715,90.8000030517,1.0,2015,49875.0,8,35
2015-08-31,28.01728521074286,74.92876870292856,27.2000001445,3.0,2015,49875.0,8,36
2015-09-07,27.867285592228573,78.47492544992858,71.2000021935,4.0,2015,49875.0,9,37
2015-09-14,26.567285265242855,86.65255301341428,122.30000591289999,0.0,2015,49875.0,9,38
2015-09-21,27.53871427264286,80.71410042897142,86.8000020981,0.0,2015,49875.0,9,39
2015-09-28,26.5601425171,83.76147133964285,109.2000045776,1.0,2015,49875.0,9,40
2015-10-05,27.281571252028574,77.98764692035715,68.6999998092,2.0,2015,49875.0,10,41
2015-10-12,27.924428667357144,78.7617024013143,52.0000007153,0.0,2015,49875.0,10,42
2015-10-19,27.238714218142857,77.94896153041428,63.3999981881,1.0,2015,49875.0,10,43
2015-10-26,27.831571306514288,76.58709171839999,25.000000938899998,0.0,2015,49875.0,10,44
2015-11-02,28.481571197542856,70.78379712784286,3.8999999463000004,1.0,2015,49875.0,11,45
2015-11-09,27.681571415485713,75.84522683280001,22.8999993801,0.0,2015,49875.0,11,46
2015-11-16,28.452999932457143,70.30461665562858,2.6000000536,0.0,2015,49875.0,11,47
2015-11-23,28.331571579000002,70.50258854457142,2.2000000478,0.0,2015,49875.0,11,48
2015-11-30,28.360142844057144,71.23891448975715,14.8999999091,0.0,2015,49875.0,11,49
2015-12-07,28.46014295307143,69.69343784877142,10.19999969,0.0,2015,49875.0,12,50
2015-12-14,28.867285592214284,68.38383374895714,5.3999999166,0.0,2015,49875.0,12,51
2015-12-21,27.21014268058571,79.12109592981427,77.799998954,0.0,2015,49875.0,12,52
2015-12-28,26.902999877942857,73.8876800537,21.2000008225,0.0,2015,49875.0,12,53
2016-01-04,27.785142762328572,67.76862689427857,0.8000000268,1.0,2016,30963.6,1,1
2016-01-11,28.610143116542854,64.07588740758571,2.5000002161,1.0,2016,30963.6,1,2
2016-01-18,28.817285810214287,59.13359342304285,0.0,1.0,2016,30963.6,1,3
2016-01-25,27.024428776357144,72.52580860684286,13.999999702,0.0,2016,30963.6,1,4
2016-02-01,28.181571143014285,67.74234608242857,14.3999994993,1.0,2016,30963.6,2,5
2016-02-08,27.553000041414286,66.95917783464286,79.5000045896,1.0,2016,30963.6,2,6
2016-02-15,26.981571197514285,70.97596849714286,1.1000000313,1.0,2016,30963.6,2,7
2016-02-22,27.552999768942858,67.4156995501,5.6999995262,0.0,2016,30963.6,2,8
2016-02-29,29.052999768942858,64.50508771624285,3.1000000612000003,0.0,2016,30963.6,2,9
2016-03-07,29.83871432714286,57.53290830338572,1.1000000238,0.0,2016,30963.6,3,10
2016-03-14,30.488713945657143,50.95803070068571,0.30000001190000003,0.0,2016,30963.6,3,11
2016-03-21,30.86014284407143,47.28517205374286,0.5000000075000001,1.0,2016,30963.6,3,12
2016-03-28,30.838714054642857,51.71096202305715,1.5000000745,0.0,2016,30963.6,3,13
2016-04-04,32.081572123928574,47.32131249562857,1.200000003,1.0,2016,30963.6,4,14
2016-04-11,31.745857511242857,54.88412857057143,34.0999984146,2.0,2016,30963.6,4,15
2016-04-18,31.967285428742855,48.82919039044286,2.0,1.0,2016,30963.6,4,16
2016-04-25,31.788714817600003,53.56167330061429,14.7000004799,0.0,2016,30963.6,4,17
2016-05-02,31.695857456757146,57.76706750052857,21.9000008702,2.0,2016,30963.6,5,18
2016-05-09,32.50300053187143,49.530822753928575,4.0000001565,3.0,2016,30963.6,5,19
2016-05-16,30.652999877928572,62.15825925554286,65.2999973297,3.0,2016,30963.6,5,20
2016-05-23,29.488714490642856,72.74304853167142,61.3000001312,1.0,2016,30963.6,5,21
2016-05-30,29.353000095914286,75.9041922433,104.4999995232,1.0,2016,30963.6,5,22
2016-06-06,28.374428612842856,75.07042694092857,59.099998712499996,0.0,2016,30963.6,6,23
2016-06-13,29.13871438164286,73.17612130299999,51.6000015735,5.0,2016,30963.6,6,24
2016-06-20,27.738714218157146,79.83597455705714,170.0000019072,7.0,2016,30963.6,6,25
2016-06-27,27.21728542872857,82.30790274484286,121.0000009537,2.0,2016,30963.6,6,26
2016-07-04,26.13871438162857,87.56110600062857,113.9999998807,1.0,2016,30963.6,7,27
2016-07-11,28.84585680282857,74.11544690812858,44.800000429200004,9.0,2016,30963.6,7,28
2016-07-18,28.717285701214287,74.04578617641428,47.699999332400004,10.0,2016,30963.6,7,29
2016-07-25,27.5744282859,81.18265969414286,102.3000068664,11.0,2016,30963.6,7,30
2016-08-01,26.502999986928575,83.4644165039143,119.100004673,29.0,2016,30963.6,8,31
2016-08-08,26.48871394567143,85.64428928921429,109.30000305179999,32.0,2016,30963.6,8,32
2016-08-15,26.988714218142857,86.81014687674285,134.9000048639,34.0,2016,30963.6,8,33
2016-08-22,26.867285592214284,83.88987840924285,85.3000011444,22.0,2016,30963.6,8,34
2016-08-29,28.82442855837143,74.6296332223,34.000000216100005,24.0,2016,30963.6,8,35
2016-09-05,27.581570761557145,81.56922694612857,140.0000042915,19.0,2016,30963.6,9,36
2016-09-12,27.203000204914286,81.61183493478572,71.8000007867,23.0,2016,30963.6,9,37
2016-09-19,27.038714272657142,80.81914302281429,91.500002861,2.0,2016,30963.6,9,38
2016-09-26,26.83871432714286,83.1604788644,77.7000013589,10.0,2016,30963.6,9,39
2016-10-03,27.245856966314285,81.94059644427143,143.2000093459,3.0,2016,30963.6,10,40
2016-10-10,26.63871383667143,84.1955468314,108.0000042915,4.0,2016,30963.6,10,41
2016-10-17,28.102999823457143,78.96573093960001,80.4000000954,0.0,2016,30963.6,10,42
2016-10-24,28.202999932442857,77.4149671282,21.3999999762,2.0,2016,30963.6,10,43
2016-10-31,26.44585663932857,85.43185642787144,103.89999604229999,1.0,2016,30963.6,10,44
2016-11-07,27.58871405467143,71.23882348197142,2.8000000492000003,0.0,2016,30963.6,11,45
2016-11-14,28.074428558357145,75.94121442522858,58.2000037731,0.0,2016,30963.6,11,46
2016-11-21,27.431571415500002,78.86965942382857,105.8000005261,1.0,2016,30963.6,11,47
2016-11-28,27.77442850385714,75.84636688231429,9.200000286200002,1.0,2016,30963.6,11,48
2016-12-05,27.438713891185717,79.05727713448572,39.1999995709,0.0,2016,30963.6,12,49
2016-12-12,26.895857129785718,81.80147879462857,63.3000006675,0.0,2016,30963.6,12,50
2016-12-19,27.610143116542854,74.47877175468571,2.7000000552000003,0.0,2016,30963.6,12,51
2016-12-26,27.524571282514284,77.80618504115715,24.8999999762,0.0,2016,30963.6,12,52
2017-01-02,26.225428989957145,78.17263248988571,10.5000001788,0.0,2017,31076.2,1,1
2017-01-09,25.946857452385718,80.78837149484285,60.3000031709,1.0,2017,31076.2,1,2
2017-01-16,25.482571193157145,78.45200129918571,17.5000007749,0.0,2017,31076.2,1,3
2017-01-23,25.8468573434,74.1580974034,2.1000000611000003,0.0,2017,31076.2,1,4
2017-01-30,26.632571084157146,73.85840388708571,9.8000004291,0.0,2017,31076.2,1,5
2017-02-06,26.6825716836,66.85142953055714,4.2000000029999995,0.0,2017,31076.2,2,6
2017-02-13,25.553999764585715,70.39759281704286,12.699999809300001,0.0,2017,31076.2,2,7
2017-02-20,27.1968574524,70.94668034145714,16.9999998808,0.0,2017,31076.2,2,8
2017-02-27,27.482571465642856,63.281010219014284,0.0,0.0,2017,31076.2,2,9
2017-03-06,25.3611431122,74.95725795202858,30.4000003337,0.0,2017,31076.2,3,10
2017-03-13,27.196857452385718,69.91778019495715,37.6000023857,0.0,2017,31076.2,3,11
2017-03-20,28.20399992807143,66.5338091169,5.6999999285000005,0.0,2017,31076.2,3,12
2017-03-27,26.953999928085715,74.6935217721,27.4000000806,0.0,2017,31076.2,3,13
2017-04-03,27.0754288265,73.90621512275713,4.2000001372,0.0,2017,31076.2,4,14
2017-04-10,29.325428554000002,61.5792176383,16.3000006675,0.0,2017,31076.2,4,15
2017-04-17,30.261143003214283,60.049818311414285,23.8000001013,0.0,2017,31076.2,4,16
2017-04-24,30.76828547887143,56.06613486152857,13.999999880699999,0.0,2017,31076.2,4,17
2017-05-01,30.47542898994286,60.61179133822857,34.5000005959,0.0,2017,31076.2,5,18
2017-05-08,29.518285751357144,66.46061052594285,12.6999998391,0.0,2017,31076.2,5,19
2017-05-15,29.34685707092857,68.76829637801428,63.800002813300004,0.0,2017,31076.2,5,20
2017-05-22,28.004000527514286,77.02023969375715,66.6000001429,0.0,2017,31076.2,5,21
2017-05-29,28.7111429487,76.25370461600001,46.899999618600006,0.0,2017,31076.2,5,22
2017-06-05,27.218285969342855,80.40368652345715,94.4000003338,0.0,2017,31076.2,6,23
2017-06-12,28.518285751357144,73.05018942697143,23.2000002266,0.0,2017,31076.2,6,24
2017-06-19,27.932571683614288,77.61509268624286,73.0999991894,1.0,2017,31076.2,6,25
2017-06-26,27.1111431122,78.87088012694286,108.99999570840001,0.0,2017,31076.2,6,26
2017-07-03,26.796857288914286,79.49063873291428,59.900000333799994,0.0,2017,31076.2,7,27
2017-07-10,26.125428608514287,81.80936322892856,105.1000061035,1.0,2017,31076.2,7,28
2017-07-17,26.096857343414285,82.76311056954286,81.60000848780001,1.0,2017,31076.2,7,29
2017-07-24,26.796857016442857,79.41600472587143,35.399999618500004,1.0,2017,31076.2,7,30
2017-07-31,27.511142730728572,77.40306854248571,55.6999993325,0.0,2017,31076.2,7,31
2017-08-07,27.93257168362857,78.18020084924285,57.1000003815,1.0,2017,31076.2,8,32
2017-08-14,27.1111428397,80.50744083949999,71.4000014065,2.0,2017,31076.2,8,33
2017-08-21,26.58257130215714,81.95512172154285,57.7000033856,0.0,2017,31076.2,8,34
2017-08-28,27.91828591484286,80.03099714007143,45.6999999583,0.0,2017,31076.2,8,35
2017-09-04,28.154000146057143,74.39048004150001,65.5000011922,2.0,2017,31076.2,9,36
2017-09-11,26.51114245824286,82.06893593924285,78.8000005484,0.0,2017,31076.2,9,37
2017-09-18,26.475428989957145,83.00505392892858,191.4999936819,2.0,2017,31076.2,9,38
2017-09-25,26.596857343385715,82.82355608257144,138.0000005737,2.0,2017,31076.2,9,39
2017-10-02,27.211142676228572,77.38371167865715,71.4000012875,0.0,2017,31076.2,10,40
2017-10-09,27.20400047302857,83.24177442279999,116.7999968529,0.0,2017,31076.2,10,41
2017-10-16,26.28971426827143,82.73432922364286,116.3000060319,1.0,2017,31076.2,10,42
2017-10-23,26.8968573979,77.8447843279143,50.5000047981,0.0,2017,31076.2,10,43
2017-10-30,27.218285969328573,78.37074170794287,67.89999999099999,0.0,2017,31076.2,10,44
2017-11-06,27.389714377285713,78.2614593506,32.2999995649,0.0,2017,31076.2,11,45
2017-11-13,27.1182864053,80.07215445381428,33.5999976993,0.0,2017,31076.2,11,46
