Year-Week,Temperature,Humidity,Precipitation,Cases,Year,Population,Month,Week
2014-01-06,27.098500442520002,80.32540740966,10.0000004546,0.0,2014,23193.8,1,2
2014-01-13,25.472786222185714,83.67409188407143,49.8999996782,2.0,2014,23193.8,1,3
2014-01-20,24.36564309257143,80.98639460972858,40.6000032426,1.0,2014,23193.8,1,4
2014-01-27,24.729928970342858,73.44924327305715,8.3999995292,2.0,2014,23193.8,1,5
2014-02-03,25.59421457564286,74.89974103654286,49.8999988586,1.0,2014,23193.8,2,6
2014-02-10,27.787071773,75.30791473388571,6.2999999523,0.0,2014,23193.8,2,7
2014-02-17,27.072785786214286,72.55212729318572,4.3999999761,0.0,2014,23193.8,2,8
2014-02-24,26.579929079342858,67.28424235754287,3.1000000238,1.0,2014,23193.8,2,9
2014-03-03,27.587071827471426,66.52343913485716,0.600000009,2.0,2014,23193.8,3,10
2014-03-10,27.815643038085714,64.84596742902856,0.1000000015,0.0,2014,23193.8,3,11
2014-03-17,27.465643201557146,74.66661235264284,44.999994993099996,1.0,2014,23193.8,3,12
2014-03-24,27.529929024842858,70.92513929094285,10.900001183199999,0.0,2014,23193.8,3,13
2014-03-31,28.629929133828572,76.0828214373,11.600000061100001,0.0,2014,23193.8,3,14
2014-04-07,29.40850012642857,68.35351181029999,1.2000000476000001,0.0,2014,23193.8,4,15
2014-04-14,28.851357051314288,69.10749489918571,25.0999998003,0.0,2014,23193.8,4,16
2014-04-21,27.715643201542857,80.22065516881428,184.7999897599,0.0,2014,23193.8,4,17
2014-04-28,28.97992869785714,74.90659986221429,38.5000024215,0.0,2014,23193.8,4,18
2014-05-05,30.05135754177143,75.41286686487142,5.7000001148,0.0,2014,23193.8,5,19
2014-05-12,30.215642929085714,71.30692727225714,9.3000005336,0.0,2014,23193.8,5,20
2014-05-19,30.365643365057142,69.694947379,16.699999898599998,0.0,2014,23193.8,5,21
2014-05-26,30.172785895214286,71.58319527762858,24.6000000536,1.0,2014,23193.8,5,22
2014-06-02,30.2227859497,71.58165413994286,21.399999857,0.0,2014,23193.8,6,23
2014-06-09,29.915643147071428,74.75860377720001,31.1000002623,2.0,2014,23193.8,6,24
