Year-Week,Temperature,Humidity,Precipitation,Cases,Year,Population,Month,Week
2014-01-06,27.46999969484,78.48375396728,10.0000004546,2.0,2014,23026.8,1,2
2014-01-13,25.899999618542857,80.95261383057142,49.8999996782,4.0,2014,23026.8,1,3
2014-01-20,24.714285986757144,79.63184247698572,40.6000032426,0.0,2014,23026.8,1,4
2014-01-27,24.86428587777143,73.41318566458573,8.3999995292,0.0,2014,23026.8,1,5
2014-02-03,25.80714280262857,74.00176565987144,49.8999988586,0.0,2014,23026.8,2,6
2014-02-10,27.828571319585713,75.12624468122858,6.2999999523,1.0,2014,23026.8,2,7
2014-02-17,27.207142693671425,71.58806392124286,4.3999999761,1.0,2014,23026.8,2,8
2014-02-24,26.85714258467143,65.83255713327142,3.1000000238,0.0,2014,23026.8,2,9
2014-03-03,27.8214288439,64.79643086025715,0.600000009,0.0,2014,23026.8,3,10
2014-03-10,28.278571265085713,62.82215554372857,0.1000000015,3.0,2014,23026.8,3,11
2014-03-17,28.014285768785715,71.14647402081428,44.999994993099996,1.0,2014,23026.8,3,12
2014-03-24,27.90000016347143,69.80451583862857,10.900001183199999,1.0,2014,23026.8,3,13
2014-03-31,28.957142693671425,73.7978439331143,11.600000061100001,0.0,2014,23026.8,3,14
2014-04-07,29.76428576877143,66.2922330584,1.2000000476000001,0.0,2014,23026.8,4,15
2014-04-14,29.36428587777143,65.88143484934287,25.0999998003,1.0,2014,23026.8,4,16
2014-04-21,28.100000109,78.68725476947144,184.7999897599,1.0,2014,23026.8,4,17
2014-04-28,29.1500001635,74.16070992605715,38.5000024215,2.0,2014,23026.8,4,18
2014-05-05,30.09285736082857,73.63675689695715,5.7000001148,3.0,2014,23026.8,5,19
2014-05-12,30.228571210585716,71.04110717774286,9.3000005336,1.0,2014,23026.8,5,20
2014-05-19,30.285714558185713,70.46713583811429,16.699999898599998,1.0,2014,23026.8,5,21
2014-05-26,30.050000326957143,71.76333618162857,24.6000000536,1.0,2014,23026.8,5,22
2014-06-02,30.0500000545,72.42987714495715,21.399999857,1.0,2014,23026.8,6,23
2014-06-09,29.61428533282857,76.16688537595714,31.1000002623,2.0,2014,23026.8,6,24
2014-06-16,29.2714287894,80.83606828961429,66.4000015259,2.0,2014,23026.8,6,25
2014-06-23,27.90000016347143,83.40517207552857,73.8000018596,10.0,2014,23026.8,6,26
2014-06-30,28.592857088357142,79.87028721401428,79.7999973298,7.0,2014,23026.8,6,27
2014-07-07,27.292857033857143,85.49314444407142,112.10000133529999,9.0,2014,23026.8,7,28
2014-07-14,27.535714285714285,85.54365866524286,105.8000023366,11.0,2014,23026.8,7,29
2014-07-21,27.714285986742855,83.45502253941429,163.30000209809998,18.0,2014,23026.8,7,30
2014-07-28,27.51428576875714,83.2217854091,84.8999996184,14.0,2014,23026.8,7,31
2014-08-04,27.37857137407143,84.56844438825715,65.9999995232,11.0,2014,23026.8,8,32
2014-08-11,28.935714176742856,77.11711338587143,12.5999994055,14.0,2014,23026.8,8,33
2014-08-18,28.757142475685715,77.53905814035714,73.20000076299999,16.0,2014,23026.8,8,34
2014-08-25,28.5,81.5807669503143,45.3999999166,13.0,2014,23026.8,8,35
2014-09-01,27.571428571414287,79.06344059534285,63.1000018119,9.0,2014,23026.8,9,36
2014-09-08,27.55000005451429,82.9879008702,119.599993229,11.0,2014,23026.8,9,37
