Year-Week,Temperature,Humidity,Precipitation,Cases,Year,Population,Month,Week
2014-01-06,26.173499679560003,84.33746185302,39.0999982358,0.0,2014,37750.0,1,2
2014-01-13,25.104928152885716,85.62320709228571,83.7999992371,0.0,2014,37750.0,1,3
2014-01-20,23.940642220614286,82.46327536447143,154.4000043868,0.0,2014,37750.0,1,4
2014-01-27,24.11207090104286,75.55174854822857,17.4000005574,0.0,2014,37750.0,1,5
2014-02-03,24.92635645182857,76.98983546665714,21.8999989481,0.0,2014,37750.0,2,6
2014-02-10,26.3263568878,82.37071119034285,13.6000006944,0.0,2014,37750.0,2,7
2014-02-17,25.804928098385716,76.9814616612,13.6999993846,0.0,2014,37750.0,2,8
2014-02-24,25.497785295742858,71.62551661900001,10.9000002146,0.0,2014,37750.0,2,9
2014-03-03,26.162070955542855,74.00187574114285,4.2000003011,0.0,2014,37750.0,3,10
2014-03-10,26.190642220614286,75.0748410906143,3.3000001013,2.0,2014,37750.0,3,11
2014-03-17,26.4192137037,79.73267800467143,37.6000013949,0.0,2014,37750.0,3,12
2014-03-24,26.333499635957143,77.58304813931429,40.6999983564,1.0,2014,37750.0,3,13
2014-03-31,27.054928098385716,82.95191955564285,28.2000024617,2.0,2014,37750.0,3,14
2014-04-07,27.612070901028574,77.47884150914285,3.6000001356,1.0,2014,37750.0,4,15
2014-04-14,26.990642547585715,80.64005497524285,41.4000046997,0.0,2014,37750.0,4,16
2014-04-21,26.31921386717143,86.04562377929999,316.499977827,0.0,2014,37750.0,4,17
2014-04-28,27.776356833300003,81.84746551514286,75.7999944389,0.0,2014,37750.0,4,18
2014-05-05,28.39778518674286,82.66508592878571,9.4000006019,0.0,2014,37750.0,5,19
2014-05-12,28.897785186757144,77.74595424108573,21.1999998838,2.0,2014,37750.0,5,20
2014-05-19,28.969213758185713,77.71699959892858,14.4000004529,0.0,2014,37750.0,5,21
2014-05-26,28.7406425476,79.42570604595714,27.7000002861,0.0,2014,37750.0,5,22
2014-06-02,29.07635661532857,78.11888231547142,24.9000011683,0.0,2014,37750.0,6,23
2014-06-09,29.31207084652857,75.82125745498571,30.1999998688,0.0,2014,37750.0,6,24
2014-06-16,29.56207084654286,75.05021231514286,41.000000894100005,0.0,2014,37750.0,6,25
2014-06-23,28.27635656082857,78.19754355294286,72.3999991417,0.0,2014,37750.0,6,26
2014-06-30,28.354928152885716,76.28341892785714,73.5999975204,0.0,2014,37750.0,6,27
2014-07-07,27.319213594685714,82.2169342041,53.8000004291,2.0,2014,37750.0,7,28
2014-07-14,27.83349990842857,79.96651131765714,32.1000008583,0.0,2014,37750.0,7,29
2014-07-21,27.27635628834286,80.92997305732857,143.7000050545,1.0,2014,37750.0,7,30
2014-07-28,27.190642493114286,80.18793487547143,62.800006486499996,1.0,2014,37750.0,7,31
2014-08-04,27.619213921642856,78.51223754884286,22.2999996692,0.0,2014,37750.0,8,32
2014-08-11,28.98349952697143,72.98370906284286,0.8000000119,3.0,2014,37750.0,8,33
2014-08-18,28.669213976157145,73.66950443814287,49.5000002013,2.0,2014,37750.0,8,34
2014-08-25,27.947785513714287,79.19938223701429,46.600000143,1.0,2014,37750.0,8,35
2014-09-01,27.397785186757144,79.52344076974285,111.7999954224,2.0,2014,37750.0,9,36
2014-09-08,26.854928152885716,82.74239894322857,100.1000038386,2.0,2014,37750.0,9,37
2014-09-15,27.340642111614283,79.53604452952858,87.100001812,4.0,2014,37750.0,9,38
2014-09-22,27.933499199985715,77.89573560441428,77.9000002742,2.0,2014,37750.0,9,39
2014-09-29,28.476356506342857,76.6178098406,36.399997591900004,2.0,2014,37750.0,9,40
2014-10-06,28.18349947247143,78.07966504778572,83.8000016212,0.0,2014,37750.0,10,41
2014-10-13,27.076356887814285,82.33590044294286,120.1999975442,2.0,2014,37750.0,10,42
2014-10-20,26.81207084655714,83.2463433402,87.4000025987,0.0,2014,37750.0,10,43
2014-10-27,27.104928152871427,83.03762054442858,61.0,0.0,2014,37750.0,10,44
2014-11-03,27.419213431200003,82.52770124162858,45.0999997855,1.0,2014,37750.0,11,45
2014-11-10,27.369213921671427,74.99753679548571,12.900000289200001,0.0,2014,37750.0,11,46
2014-11-17,27.262071064542855,80.46142142157143,38.8000035285,1.0,2014,37750.0,11,47
2014-11-24,27.26921408515714,82.99115099224286,48.5000004768,1.0,2014,37750.0,11,48
2014-12-01,26.49778502325714,87.05609566822856,122.800005436,0.0,2014,37750.0,12,49
2014-12-08,26.62635666981429,83.3033414568143,122.2000114321,0.0,2014,37750.0,12,50
2014-12-15,26.84778513227143,82.6484549386,55.199995771000005,1.0,2014,37750.0,12,51
2014-12-22,26.44064249308571,85.24881308420001,45.999999523199996,0.0,2014,37750.0,12,52
2014-12-29,26.32635661531429,85.44227491107142,56.5000004767,0.0,2014,37750.0,12,1
2015-01-05,25.6406424386,86.25789097375714,108.7000069618,0.0,2015,38775.0,1,2
2015-01-12,25.447785513728572,79.02688707622858,12.000000335300001,0.0,2015,38775.0,1,3
2015-01-19,25.2406425476,81.22044372557143,31.399997785700002,0.0,2015,38775.0,1,4
2015-01-26,26.183499472457147,79.9303654262,32.200000301,0.0,2015,38775.0,1,5
2015-02-02,25.683499744942857,80.74464743477142,17.7000004649,0.0,2015,38775.0,2,6
2015-02-09,25.083499635971428,76.40274919781429,4.900000155,2.0,2015,38775.0,2,7
2015-02-16,25.93349947247143,83.32139696394286,7.2000004053,0.0,2015,38775.0,2,8
2015-02-23,25.804928098385716,72.47659138271429,2.7000001446,0.0,2015,38775.0,2,9
2015-03-02,26.56207084654286,74.43258558,3.8000001684,1.0,2015,38775.0,3,10
2015-03-09,26.562071119014288,75.68672834122857,10.400000304,1.0,2015,38775.0,3,11
2015-03-16,26.44064249308571,71.03361238751428,1.100000009,0.0,2015,38775.0,3,12
2015-03-23,27.26921381267143,67.85580553325714,1.200000003,0.0,2015,38775.0,3,13
2015-03-30,27.21921375817143,76.13697923932857,14.500000715199999,0.0,2015,38775.0,3,14
2015-04-06,28.054927825914287,71.03738512311429,8.1000000537,0.0,2015,38775.0,4,15
2015-04-13,27.712071010028573,74.09312874931427,9.1000000834,0.0,2015,38775.0,4,16
2015-04-20,28.090642384085715,77.06120845248572,26.2999996544,0.0,2015,38775.0,4,17
2015-04-27,28.697785241257144,73.32611846924286,18.100000143,0.0,2015,38775.0,4,18
2015-05-04,27.87635666981429,78.70048849922857,47.3999998124,0.0,2015,38775.0,5,19
2015-05-11,28.847785404728572,74.34542083741428,1.7000000253,0.0,2015,38775.0,5,20
2015-05-18,29.1263569423,72.28608049665715,9.0000004917,0.0,2015,38775.0,5,21
2015-05-25,29.747785295742858,69.1436402457,6.2000001669,0.0,2015,38775.0,5,22
2015-06-01,30.06921386717143,68.8572442191,12.3000007644,0.0,2015,38775.0,6,23
2015-06-08,28.990642547585715,75.55493164062857,25.2999994756,1.0,2015,38775.0,6,24
2015-06-15,28.976356778814285,78.15425109862858,43.3000001907,0.0,2015,38775.0,6,25
2015-06-22,27.87635666981429,79.97630746022857,116.1000022887,0.0,2015,38775.0,6,26
2015-06-29,28.4549279894,77.05735124861428,48.800003387000004,0.0,2015,38775.0,6,27
2015-07-06,27.304928098385716,81.15020424978572,67.6000027658,0.0,2015,38775.0,7,28
2015-07-13,28.062071391485713,77.1093913487,11.5999991001,1.0,2015,38775.0,7,29
2015-07-20,29.240642275099997,70.5040773664143,1.5000000969,0.0,2015,38775.0,7,30
2015-07-27,28.240642275114286,76.18114035469999,34.1999986172,0.0,2015,38775.0,7,31
2015-08-03,27.204927989385713,82.3017905098857,59.000002861,1.0,2015,38775.0,8,32
2015-08-10,27.654928207399998,77.84510803221428,48.8999993802,0.0,2015,38775.0,8,33
2015-08-17,28.23349925447143,79.16950007847143,40.7000002862,0.0,2015,38775.0,8,34
2015-08-24,28.219213758185713,77.3629030500143,19.3000001907,2.0,2015,38775.0,8,35
2015-08-31,28.454927716914288,74.66219002861429,34.2000002563,0.0,2015,38775.0,8,36
2015-09-07,28.240642547585715,78.17238725935714,46.599999904600004,2.0,2015,38775.0,9,37
2015-09-14,28.0049277714,78.51195199148572,61.4999998807,1.0,2015,38775.0,9,38
2015-09-21,27.583499635957143,81.1962400164143,89.59999799740001,2.0,2015,38775.0,9,39
2015-09-28,27.740642547585715,80.73220171245714,77.2999992369,0.0,2015,38775.0,9,40
2015-10-05,27.5763566153,79.94911629811429,46.6000010371,1.0,2015,38775.0,10,41
2015-10-12,28.1263569423,79.16484614781429,33.8999992385,2.0,2015,38775.0,10,42
2015-10-19,27.7049279894,81.01499285018572,24.7000006809,1.0,2015,38775.0,10,43
2015-10-26,28.733499254485714,74.72897883824285,3.5000001191,0.0,2015,38775.0,10,44
2015-11-02,27.833499635957143,79.40351867675714,41.9000007213,1.0,2015,38775.0,11,45
2015-11-09,27.17635645182857,84.27590833391427,67.3000007868,0.0,2015,38775.0,11,46
2015-11-16,27.904928207371427,79.51010240825714,18.4000014066,0.0,2015,38775.0,11,47
2015-11-23,27.6906424931,81.43413979667142,17.3999999761,0.0,2015,38775.0,11,48
2015-11-30,27.433499744942857,83.50259072438573,35.099998474100005,0.0,2015,38775.0,11,49
2015-12-07,27.026356560814286,84.2348828997143,37.0999979526,0.0,2015,38775.0,12,50
2015-12-14,27.56207084655714,81.58713531495714,11.3999995069,1.0,2015,38775.0,12,51
2015-12-21,27.12635666981429,81.90630449567142,48.3999978304,0.0,2015,38775.0,12,52
2015-12-28,26.597785404728572,80.28821781701429,13.200000301100001,0.0,2015,38775.0,12,53
2016-01-04,26.579928261885716,80.76449475969285,19.5000010877,1.0,2016,38829.6,1,1
2016-01-11,26.81207084654286,78.85409000942857,8.3000000714,0.0,2016,38829.6,1,2
2016-01-18,26.876356942285717,75.93818446567143,8.3000002653,0.0,2016,38829.6,1,3
