Year-Week,Temperature,Humidity,Precipitation,Cases,Year,Population,Month,Week
2014-01-06,28.769499969499996,73.05267333984,10.0000004546,1.0,2014,51842.6,1,2
2014-01-13,27.365214756557144,73.16072518485714,49.8999996782,0.0,2014,51842.6,1,3
2014-01-20,25.922357286728573,74.90730721611429,40.6000032426,0.0,2014,51842.6,1,4
2014-01-27,26.193785531185714,68.11117281231428,8.3999995292,0.0,2014,51842.6,1,5
2014-02-03,26.57235717772857,70.17672239031428,49.8999988586,0.0,2014,51842.6,2,6
2014-02-10,28.229499816885713,73.47115979877142,6.2999999523,0.0,2014,51842.6,2,7
2014-02-17,27.9723565238,67.78685324534285,4.3999999761,2.0,2014,51842.6,2,8
2014-02-24,28.200927734385715,58.491511208685715,3.1000000238,0.0,2014,51842.6,2,9
2014-03-03,29.27949959891429,56.200563703257146,0.600000009,1.0,2014,51842.6,3,10
2014-03-10,29.8723575047,53.18226024082857,0.1000000015,1.0,2014,51842.6,3,11
2014-03-17,30.122356414800002,60.11303220475714,44.999994993099996,1.0,2014,51842.6,3,12
2014-03-24,29.77949959892857,59.583766937257145,10.900001183199999,0.0,2014,51842.6,3,13
2014-03-31,31.408070700514283,58.529333387085714,11.600000061100001,0.0,2014,51842.6,3,14
2014-04-07,32.33664267402857,48.739599500385715,1.2000000476000001,0.0,2014,51842.6,4,15
2014-04-14,31.67235674175714,51.7847213745,25.0999998003,0.0,2014,51842.6,4,16
2014-04-21,29.186643328,72.29750660487143,184.7999897599,0.0,2014,51842.6,4,17
2014-04-28,29.979499816885713,68.71221269878572,38.5000024215,0.0,2014,51842.6,4,18
2014-05-05,31.115213666642855,63.82821001325715,5.7000001148,0.0,2014,51842.6,5,19
2014-05-12,31.815213884614284,59.34514835902856,9.3000005336,0.0,2014,51842.6,5,20
2014-05-19,31.379500252871427,61.10900442941428,16.699999898599998,2.0,2014,51842.6,5,21
2014-05-26,30.90807124548571,65.24577985491429,24.6000000536,1.0,2014,51842.6,5,22
2014-06-02,30.686642783014285,66.52980422975715,21.399999857,0.0,2014,51842.6,6,23
2014-06-09,30.072356632785716,71.44187273298571,31.1000002623,0.0,2014,51842.6,6,24
2014-06-16,29.22235706875714,81.25976453508572,66.4000015259,0.0,2014,51842.6,6,25
2014-06-23,27.76521410262857,84.1544679914,73.8000018596,0.0,2014,51842.6,6,26
2014-06-30,28.34378542217143,80.6003352574,79.7999973298,0.0,2014,51842.6,6,27
2014-07-07,27.293785640157143,85.58520943777144,112.10000133529999,1.0,2014,51842.6,7,28
2014-07-14,27.200928279328572,86.39633396694286,105.8000023366,1.0,2014,51842.6,7,29
2014-07-21,27.46521377564286,86.60904802595714,163.30000209809998,1.0,2014,51842.6,7,30
2014-07-28,27.4580721174,85.7018912179143,84.8999996184,1.0,2014,51842.6,7,31
2014-08-04,27.500928061385714,85.1397290911,65.9999995232,3.0,2014,51842.6,8,32
2014-08-11,28.872356959757145,78.9351610456143,12.5999994055,1.0,2014,51842.6,8,33
2014-08-18,28.32949938092857,79.49985613141429,73.20000076299999,2.0,2014,51842.6,8,34
2014-08-25,28.450929369257146,82.12280818395713,45.3999999166,0.0,2014,51842.6,8,35
2014-09-01,27.558071681428572,80.33321162632856,63.1000018119,2.0,2014,51842.6,9,36
2014-09-08,27.18664278302857,84.40464782715715,119.599993229,0.0,2014,51842.6,9,37
2014-09-15,27.079499925885717,85.1102382115,102.5999982357,1.0,2014,51842.6,9,38
2014-09-22,28.065213884642855,81.28615679058571,78.89999187,0.0,2014,51842.6,9,39
2014-09-29,28.686642783042856,79.77546473911427,31.500000059599998,2.0,2014,51842.6,9,40
2014-10-06,28.086642674057142,83.30038670132856,77.9000000954,1.0,2014,51842.6,10,41
2014-10-13,26.850928170342858,87.88332584927142,147.3000057935,1.0,2014,51842.6,10,42
2014-10-20,28.479499816885713,78.1162752424,56.699998378800004,0.0,2014,51842.6,10,43
2014-10-27,28.97235706875714,76.82584272111428,17.0000005067,1.0,2014,51842.6,10,44
2014-11-03,29.0794999259,74.4820665632,12.6999999657,1.0,2014,51842.6,11,45
2014-11-10,29.15092795237143,68.59490203858572,4.999999821199999,0.0,2014,51842.6,11,46
