Year-Week,Temperature,Humidity,Precipitation,Cases,Year,Population,Month,Week
2014-01-06,26.440499114980003,83.69774780274,39.0999982358,0.0,2014,51482.6,1,2
2014-01-13,25.244785308814283,85.72845458984285,83.7999992371,2.0,2014,51482.6,1,3
2014-01-20,23.88049915857143,82.68982151577143,154.4000043868,0.0,2014,51482.6,1,4
2014-01-27,24.20907075062857,74.88991219655713,17.4000005574,1.0,2014,51482.6,1,5
2014-02-03,25.130499158585714,76.04501887731429,21.8999989481,1.0,2014,51482.6,2,6
2014-02-10,26.75907080512857,80.00046648298571,13.6000006944,0.0,2014,51482.6,2,7
2014-02-17,26.08049937655714,75.9559762137,13.6999993846,2.0,2014,51482.6,2,8
2014-02-24,25.787641797714286,70.0394706726,10.9000002146,0.0,2014,51482.6,2,9
2014-03-03,26.59478514532857,71.68269348145715,4.2000003011,2.0,2014,51482.6,3,10
2014-03-10,26.630499431042857,73.07367052351428,3.3000001013,2.0,2014,51482.6,3,11
2014-03-17,26.90192822044286,77.75423431395714,37.6000013949,0.0,2014,51482.6,3,12
2014-03-24,26.66621371675714,75.52761840818572,40.6999983564,0.0,2014,51482.6,3,13
2014-03-31,27.523356846385713,81.58449336458571,28.2000024617,0.0,2014,51482.6,3,14
2014-04-07,28.109071186585712,75.28866141182857,3.6000001356,0.0,2014,51482.6,4,15
2014-04-14,27.444785254314287,79.13504137311429,41.4000046997,0.0,2014,51482.6,4,16
2014-04-21,26.644785199814287,85.16209738595714,316.499977827,0.0,2014,51482.6,4,17
2014-04-28,28.201928002457144,80.88907841272858,75.7999944389,1.0,2014,51482.6,4,18
2014-05-05,28.8590709141,82.08307429722858,9.4000006019,1.0,2014,51482.6,5,19
2014-05-12,29.34478460037143,76.05463082450001,21.1999998838,0.0,2014,51482.6,5,20
2014-05-19,29.380499431042857,76.61640821184287,14.4000004529,0.0,2014,51482.6,5,21
2014-05-26,29.159070968614287,78.3401663644,27.7000002861,0.0,2014,51482.6,5,22
2014-06-02,29.444785254314287,77.37018040248572,24.9000011683,0.0,2014,51482.6,6,23
2014-06-09,29.637642179199997,74.59083557128572,30.1999998688,1.0,2014,51482.6,6,24
2014-06-16,29.75907080512857,75.01767076765714,41.000000894100005,0.0,2014,51482.6,6,25
2014-06-23,28.40907069612857,78.65823909214285,72.3999991417,0.0,2014,51482.6,6,26
2014-06-30,28.444784981828573,76.36288016184287,73.5999975204,0.0,2014,51482.6,6,27
2014-07-07,27.430498940585714,82.55476815361429,53.8000004291,1.0,2014,51482.6,7,28
2014-07-14,28.016213280785713,79.97107151575713,32.1000008583,0.0,2014,51482.6,7,29
