Year-Week,Temperature,Humidity,Precipitation,Cases,Year,Population,Month,Week
2014-01-06,27.10050086974,78.01095428468,10.0000004546,1.0,2014,61927.6,1,2
2014-01-13,25.481929234099997,80.67144557405716,49.8999996782,0.0,2014,61927.6,1,3
2014-01-20,24.23907225472857,79.13203212194286,40.6000032426,0.0,2014,61927.6,1,4
2014-01-27,24.50335775104286,72.75864028928571,8.3999995292,1.0,2014,61927.6,1,5
2014-02-03,25.574786322442858,73.11853572298571,49.8999988586,0.0,2014,61927.6,2,6
2014-02-10,27.589072363714283,73.90258244105715,6.2999999523,1.0,2014,61927.6,2,7
2014-02-17,26.82478632247143,71.4717123849,4.3999999761,0.0,2014,61927.6,2,8
2014-02-24,26.503357751014285,65.65749795095714,3.1000000238,0.0,2014,61927.6,2,9
2014-03-03,27.489072254714284,64.14082009452856,0.600000009,0.0,2014,61927.6,3,10
2014-03-10,28.08192934307143,62.0246255057,0.1000000015,0.0,2014,61927.6,3,11
2014-03-17,27.667643683285714,70.75471224102857,44.999994993099996,1.0,2014,61927.6,3,12
2014-03-24,27.78192928858571,68.2692500523,10.900001183199999,1.0,2014,61927.6,3,13
2014-03-31,28.63907214572857,73.40887124197143,11.600000061100001,0.0,2014,61927.6,3,14
2014-04-07,29.58907181875714,65.59918212888572,1.2000000476000001,1.0,2014,61927.6,4,15
2014-04-14,29.30335780552857,64.65956606184285,25.0999998003,0.0,2014,61927.6,4,16
2014-04-21,27.967644010257143,77.73939950124284,184.7999897599,0.0,2014,61927.6,4,17
2014-04-28,28.903357642042856,73.41723414832857,38.5000024215,0.0,2014,61927.6,4,18
2014-05-05,29.867643628785714,72.50703757148571,5.7000001148,0.0,2014,61927.6,5,19
2014-05-12,30.039072036742855,69.87965447561429,9.3000005336,0.0,2014,61927.6,5,20
2014-05-19,30.046214784885713,70.26853724888572,16.699999898599998,0.0,2014,61927.6,5,21
2014-05-26,29.789072309228573,71.01056344167144,24.6000000536,1.0,2014,61927.6,5,22
2014-06-02,29.70335769652857,72.63807896207143,21.399999857,1.0,2014,61927.6,6,23
2014-06-09,29.25335775102857,75.75676618305715,31.1000002623,4.0,2014,61927.6,6,24
2014-06-16,28.646214893885713,81.66625976562857,66.4000015259,2.0,2014,61927.6,6,25
2014-06-23,27.3176435743,84.92163630894287,73.8000018596,0.0,2014,61927.6,6,26
2014-06-30,28.089072363714283,79.43024008612858,79.7999973298,3.0,2014,61927.6,6,27
2014-07-07,26.774786267942858,85.58152226041429,112.10000133529999,12.0,2014,61927.6,7,28
2014-07-14,26.95335769654286,86.58059801374286,105.8000023366,6.0,2014,61927.6,7,29
2014-07-21,27.117643356314286,83.52082497732856,163.30000209809998,3.0,2014,61927.6,7,30
2014-07-28,26.94621522085714,83.98546055384286,84.8999996184,8.0,2014,61927.6,7,31
2014-08-04,26.731929506557144,85.7064339774,65.9999995232,14.0,2014,61927.6,8,32
2014-08-11,28.367643628814285,77.70922960554286,12.5999994055,3.0,2014,61927.6,8,33
2014-08-18,28.37478637697143,76.35826437815714,73.20000076299999,5.0,2014,61927.6,8,34
2014-08-25,28.08192961555714,81.79231044224285,45.3999999166,5.0,2014,61927.6,8,35
2014-09-01,27.067643574314282,79.5960257394,63.1000018119,11.0,2014,61927.6,9,36
2014-09-08,26.981929506557144,82.97508239747143,119.599993229,9.0,2014,61927.6,9,37
2014-09-15,26.546215057385716,84.1831414358857,102.5999982357,4.0,2014,61927.6,9,38
2014-09-22,27.553357805514285,81.21743665422856,78.89999187,2.0,2014,61927.6,9,39
2014-09-29,28.796214784885713,74.49896349225715,31.500000059599998,2.0,2014,61927.6,9,40
2014-10-06,27.960500717157142,79.91289738248572,77.9000000954,1.0,2014,61927.6,10,41
2014-10-13,26.25335775102857,86.5034059797,147.3000057935,2.0,2014,61927.6,10,42
2014-10-20,27.546214784885713,79.44743456159999,56.699998378800004,1.0,2014,61927.6,10,43
2014-10-27,28.481929234085715,75.30584171841429,17.0000005067,2.0,2014,61927.6,10,44
2014-11-03,28.310500553685717,76.40613773891428,12.6999999657,2.0,2014,61927.6,11,45
2014-11-10,28.389072418214283,70.05816432408572,4.999999821199999,2.0,2014,61927.6,11,46
2014-11-17,28.50335775102857,72.4919586181857,9.3000004664,1.0,2014,61927.6,11,47
2014-11-24,28.82478632245714,74.66040257047143,8.6000001728,0.0,2014,61927.6,11,48
2014-12-01,27.560500826142857,82.04143306187143,83.4999985695,0.0,2014,61927.6,12,49
2014-12-08,27.474786485942854,76.52487618580001,40.300001204,0.0,2014,61927.6,12,50
2014-12-15,27.589072091242855,78.28727613175714,21.8000004292,1.0,2014,61927.6,12,51
2014-12-22,27.103357860014285,78.72499193464286,28.1999996678,0.0,2014,61927.6,12,52
2014-12-29,27.281929016114283,78.66139221191429,9.700000494900001,0.0,2014,61927.6,12,1
2015-01-05,26.40335764202857,80.54568481445715,48.39999857550001,0.0,2015,62706.0,1,2
2015-01-12,26.15335764202857,73.27400643485714,4.4000000954,1.0,2015,62706.0,1,3
2015-01-19,26.496215275342855,73.00764574324286,7.9999995753999995,0.0,2015,62706.0,1,4
2015-01-26,27.13192939757143,76.37765175957144,21.599999487399998,1.0,2015,62706.0,1,5
