Year-Week,Temperature,Humidity,Precipitation,Cases,Year,Population,Month,Week
2014-01-06,27.55799942014,75.07715148925999,17.2999997661,0.0,2014,22267.2,1,2
2014-01-13,25.97371373858571,77.0586744036,45.3999985232,0.0,2014,22267.2,1,3
2014-01-20,24.602284840157143,78.07753753659999,33.8999967575,0.0,2014,22267.2,1,4
2014-01-27,24.930856432214284,70.40082877021429,5.699999049300001,0.0,2014,22267.2,1,5
2014-02-03,25.6951424735,71.22318540301428,49.399998486,0.0,2014,22267.2,2,6
2014-02-10,27.59514209201429,72.66445922852857,11.099999465,0.0,2014,22267.2,2,7
2014-02-17,26.96657071792857,69.63575799124285,12.899999655899999,0.0,2014,22267.2,2,8
2014-02-24,26.8308565957,62.24457277568571,1.2000000477000001,1.0,2014,22267.2,2,9
2014-03-03,28.023713520585716,59.65008544922857,1.0000000373,0.0,2014,22267.2,3,10
2014-03-10,28.630856377728573,56.10902132304285,0.7000000179000001,0.0,2014,22267.2,3,11
2014-03-17,28.695142201,63.382050650457145,36.0999993085,0.0,2014,22267.2,3,12
2014-03-24,28.630856377714284,61.63765226091429,8.0000000149,0.0,2014,22267.2,3,13
2014-03-31,29.745142255485714,63.98545183454286,24.1999997869,0.0,2014,22267.2,3,14
2014-04-07,30.79514231,53.45164162772857,0.8000000119,0.0,2014,22267.2,4,15
2014-04-14,30.380856650214287,54.38435309275714,13.199999883799999,0.0,2014,22267.2,4,16
2014-04-21,28.195142200985714,74.54088047572857,159.20000028610002,0.0,2014,22267.2,4,17
2014-04-28,28.987999779828574,70.6458772931857,31.199999153700002,0.0,2014,22267.2,4,18
2014-05-05,29.895142418985717,68.42461722237144,10.1999998242,0.0,2014,22267.2,5,19
2014-05-12,30.20942824227143,66.0018032619,12.199999928499999,1.0,2014,22267.2,5,20
2014-05-19,30.16657039097143,66.06665693008571,30.8999986053,0.0,2014,22267.2,5,21
2014-05-26,29.80228505814286,68.33360290527143,43.700000763,0.0,2014,22267.2,5,22
2014-06-02,29.623713357099998,70.55781882149999,41.1000000237,0.0,2014,22267.2,6,23
2014-06-09,29.045142309985714,74.2233330863,43.5,2.0,2014,22267.2,6,24
2014-06-16,28.287999016885713,82.51580701555714,92.2000064849,1.0,2014,22267.2,6,25
2014-06-23,26.887999398342856,86.5237219674,102.49999380119999,0.0,2014,22267.2,6,26
2014-06-30,27.5951423645,80.23900168282856,86.20000672329999,0.0,2014,22267.2,6,27
2014-07-07,26.409427642814286,86.86958312987143,115.1999940873,0.0,2014,22267.2,7,28
2014-07-14,26.430856432214284,87.7692228045,162.7000036238,3.0,2014,22267.2,7,29
2014-07-21,26.53799928937143,86.20572662352858,177.7000069619,0.0,2014,22267.2,7,30
2014-07-28,26.566570826942858,86.05841500418572,100.9999935628,2.0,2014,22267.2,7,31
2014-08-04,26.40942791528571,86.3411015102,104.5000052452,1.0,2014,22267.2,8,32
2014-08-11,27.902285167142857,79.17453220914285,24.1000006721,2.0,2014,22267.2,8,33
2014-08-18,27.81657082692857,77.63222176685714,96.40000200269999,2.0,2014,22267.2,8,34
2014-08-25,27.795142037514285,82.43716975618572,73.8000024557,0.0,2014,22267.2,8,35
2014-09-01,26.745141983014285,80.30407496861429,86.0999965669,2.0,2014,22267.2,9,36
2014-09-08,26.366570881428572,84.81769561768571,153.0999908448,1.0,2014,22267.2,9,37
2014-09-15,26.13799967082857,86.10270036968572,133.3000009059,0.0,2014,22267.2,9,38
2014-09-22,27.173713684071426,81.79486955915715,92.5999983326,0.0,2014,22267.2,9,39
2014-09-29,28.20942796977143,77.0394821166857,57.4999994038,1.0,2014,22267.2,9,40
2014-10-06,27.459428242257143,82.24288286481429,58.8000016212,0.0,2014,22267.2,10,41
2014-10-13,25.902285167142857,88.25783320835714,168.50000143059998,1.0,2014,22267.2,10,42
2014-10-20,27.495141710542857,79.13960811068571,95.40000009529999,0.0,2014,22267.2,10,43
2014-10-27,28.373713902057144,75.12475585938571,43.800000429099995,0.0,2014,22267.2,10,44
2014-11-03,28.29514231,74.98714882988573,27.0000004768,0.0,2014,22267.2,11,45
2014-11-10,28.252284731171425,69.03040640695714,8.7999992521,0.0,2014,22267.2,11,46
2014-11-17,28.530856541214284,71.77970995221429,22.200000681,0.0,2014,22267.2,11,47
2014-11-24,28.702284949142857,74.09992218017143,29.1000005006,0.0,2014,22267.2,11,48
2014-12-01,27.70942742482857,80.15917532785714,80.6000027211,0.0,2014,22267.2,12,49
2014-12-08,27.452284949157143,75.89460536412857,43.7999964952,0.0,2014,22267.2,12,50
2014-12-15,27.437999452857145,77.98573412212856,26.400000773400002,0.0,2014,22267.2,12,51
2014-12-22,27.53799928937143,75.30956922258572,13.9000002891,0.0,2014,22267.2,12,52
2014-12-29,27.84514209201429,74.16830008371429,2.4000000506,0.0,2014,22267.2,12,1
2015-01-05,26.74514252797143,77.31042262485714,35.599997460800004,0.0,2015,22449.0,1,2
2015-01-12,26.830856595714287,69.31519099644285,1.5000000745,0.0,2015,22449.0,1,3
2015-01-19,27.159427915285715,67.75862884522857,4.7999998331,0.0,2015,22449.0,1,4
2015-01-26,27.53085654124286,70.58731188092857,26.3999990002,0.0,2015,22449.0,1,5
2015-02-02,27.45942796977143,68.84704971311429,2.5000001044,1.0,2015,22449.0,2,6
2015-02-09,27.295142582471424,60.62280763898571,1.4000000954,0.0,2015,22449.0,2,7
2015-02-16,28.573713302614287,62.786139896942856,8.5000004172,0.0,2015,22449.0,2,8
2015-02-23,28.480856486728573,54.777613503599994,0.0,0.0,2015,22449.0,2,9
2015-03-02,29.430856704700002,53.65087073188572,0.0,0.0,2015,22449.0,3,10
2015-03-09,29.816571099414286,53.61000279018572,0.5000000149,0.0,2015,22449.0,3,11
2015-03-16,29.90942818775714,47.954931531642856,0.200000003,0.0,2015,22449.0,3,12
2015-03-23,29.959427697299997,46.715579986557145,2.3000000715,0.0,2015,22449.0,3,13
2015-03-30,30.459427697299997,52.931177956714286,0.9000000134,0.0,2015,22449.0,3,14
2015-04-06,31.55942835127143,49.14538138251429,1.4000000134000001,0.0,2015,22449.0,4,15
2015-04-13,31.35228538512857,48.35054506574286,1.7000000178999999,0.0,2015,22449.0,4,16
2015-04-20,31.309428078785714,55.06752232142857,23.2999992668,0.0,2015,22449.0,4,17
2015-04-27,31.7308567592,51.42831475394286,6.999999858400001,0.0,2015,22449.0,4,18
2015-05-04,30.595142636985713,58.78095572335714,57.4999997169,0.0,2015,22449.0,5,19
2015-05-11,29.752285276114286,63.929800851028574,9.0000003575,0.0,2015,22449.0,5,20
2015-05-18,31.323714120042858,54.24730300904286,7.2000000775,0.0,2015,22449.0,5,21
2015-05-25,30.337999071385717,62.17760576521429,28.4000013248,0.0,2015,22449.0,5,22
2015-06-01,30.05228505814286,66.77340480258572,17.6999999286,0.0,2015,22449.0,6,23
2015-06-08,30.1594279153,66.55963298251429,36.2999981642,0.0,2015,22449.0,6,24
2015-06-15,30.145142418971428,68.49465942382857,96.79999971390001,0.0,2015,22449.0,6,25
2015-06-22,27.730856486714284,80.02851431709999,108.6999988556,0.0,2015,22449.0,6,26
2015-06-29,28.15942791528571,77.78783198764286,58.9999999999,0.0,2015,22449.0,6,27
2015-07-06,25.4594279698,88.94010489327142,295.2000017166,0.0,2015,22449.0,7,28
2015-07-13,26.416570935914283,88.34114183697143,150.9000015258,0.0,2015,22449.0,7,29
2015-07-20,28.295142037514285,77.00420052664286,4.6999999657,0.0,2015,22449.0,7,30
2015-07-27,28.309428078785714,73.0821751186,49.2999988571,0.0,2015,22449.0,7,31
2015-08-03,27.53799928937143,80.60323006765714,92.3000044822,0.0,2015,22449.0,8,32
2015-08-10,26.173713411585712,87.17890712194286,176.400007248,1.0,2015,22449.0,8,33
2015-08-17,28.137999125871428,79.64195033481428,65.40000164509999,1.0,2015,22449.0,8,34
2015-08-24,26.8808566502,84.26316288538571,90.8000030517,0.0,2015,22449.0,8,35
2015-08-31,28.230856486714284,75.55836377824286,27.2000001445,0.0,2015,22449.0,8,36
