loc,cases,deaths,date,Region,year
ILOILO CITY,19,0.0,10/01/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,23,0.0,17/01/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,31,0.0,24/01/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,26,0.0,31/01/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,10,1.0,07/02/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,11,0.0,14/02/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,10,0.0,21/02/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,18,0.0,28/02/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,12,0.0,06/03/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,14,0.0,13/03/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,11,0.0,20/03/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,8,0.0,27/03/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,5,0.0,03/04/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,13,0.0,10/04/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,7,0.0,17/04/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,8,0.0,24/04/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,8,0.0,01/05/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,8,0.0,08/05/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,6,0.0,15/05/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,13,0.0,22/05/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,10,0.0,29/05/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,9,0.0,05/06/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,12,0.0,12/06/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,7,0.0,19/06/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,20,0.0,26/06/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,12,0.0,03/07/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,20,0.0,10/07/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,31,0.0,17/07/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,53,0.0,24/07/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,104,0.0,31/07/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,129,0.0,07/08/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,122,0.0,14/08/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,159,2.0,21/08/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,145,1.0,28/08/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,141,0.0,04/09/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,89,0.0,11/09/2016,REGION VI-WESTERN VISAYAS,2016
