"adm_0_name","adm_1_name","adm_2_name","full_name","ISO_A0","FAO_GAUL_code","RNE_iso_code","IBGE_code","calendar_start_date","calendar_end_date","Year","dengue_total","case_definition_standardised","S_res","T_res","UUID"
"PHILIPPINES",NA,NA,"PHILIPPINES","PHL",196,"PHL",NA,"1955-01-01","1955-12-31",1955,96,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"PHILIPPINES",NA,NA,"PHILIPPINES","PHL",196,"PHL",NA,"1956-01-01","1956-12-31",1956,1207,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"PHILIPPINES",NA,NA,"PHILIPPINES","PHL",196,"PHL",NA,"1957-01-01","1957-12-31",1957,152,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"PHILIPPINES",NA,NA,"PHILIPPINES","PHL",196,"PHL",NA,"1958-01-01","1958-12-31",1958,94,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"PHILIPPINES",NA,NA,"PHILIPPINES","PHL",196,"PHL",NA,"1959-01-01","1959-12-31",1959,125,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"PHILIPPINES",NA,NA,"PHILIPPINES","PHL",196,"PHL",NA,"1960-01-01","1960-12-31",1960,551,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"PHILIPPINES",NA,NA,"PHILIPPINES","PHL",196,"PHL",NA,"1961-01-01","1961-12-31",1961,1459,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"PHILIPPINES",NA,NA,"PHILIPPINES","PHL",196,"PHL",NA,"1962-01-01","1962-12-31",1962,134,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"PHILIPPINES",NA,NA,"PHILIPPINES","PHL",196,"PHL",NA,"1963-01-01","1963-12-31",1963,189,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"PHILIPPINES",NA,NA,"PHILIPPINES","PHL",196,"PHL",NA,"1964-01-01","1964-12-31",1964,759,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"PHILIPPINES",NA,NA,"PHILIPPINES","PHL",196,"PHL",NA,"1965-01-01","1965-12-31",1965,652,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"PHILIPPINES",NA,NA,"PHILIPPINES","PHL",196,"PHL",NA,"1966-01-01","1966-12-31",1966,9384,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"PHILIPPINES",NA,NA,"PHILIPPINES","PHL",196,"PHL",NA,"1967-01-01","1967-12-31",1967,1371,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"PHILIPPINES",NA,NA,"PHILIPPINES","PHL",196,"PHL",NA,"1968-01-01","1968-12-31",1968,1116,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"PHILIPPINES",NA,NA,"PHILIPPINES","PHL",196,"PHL",NA,"1969-01-01","1969-12-31",1969,1336,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"PHILIPPINES",NA,NA,"PHILIPPINES","PHL",196,"PHL",NA,"1970-01-01","1970-12-31",1970,922,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"PHILIPPINES",NA,NA,"PHILIPPINES","PHL",196,"PHL",NA,"1971-01-01","1971-12-31",1971,438,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"PHILIPPINES",NA,NA,"PHILIPPINES","PHL",196,"PHL",NA,"1972-01-01","1972-12-31",1972,1570,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"PHILIPPINES",NA,NA,"PHILIPPINES","PHL",196,"PHL",NA,"1973-01-01","1973-12-31",1973,710,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"PHILIPPINES",NA,NA,"PHILIPPINES","PHL",196,"PHL",NA,"1974-01-01","1974-12-31",1974,1665,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"PHILIPPINES",NA,NA,"PHILIPPINES","PHL",196,"PHL",NA,"1975-01-01","1975-12-31",1975,603,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"PHILIPPINES",NA,NA,"PHILIPPINES","PHL",196,"PHL",NA,"1976-01-01","1976-12-31",1976,460,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"PHILIPPINES",NA,NA,"PHILIPPINES","PHL",196,"PHL",NA,"1977-01-01","1977-12-31",1977,376,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"PHILIPPINES",NA,NA,"PHILIPPINES","PHL",196,"PHL",NA,"1979-01-01","1979-12-31",1979,392,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"PHILIPPINES",NA,NA,"PHILIPPINES","PHL",196,"PHL",NA,"1980-01-01","1980-12-31",1980,968,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
