dt,temp,pressure,humidity,rain
2011-01-01,25.46,1008,92,0
2011-01-02,25.37,1009,91,0.63
2011-01-03,25.06,1011,91,0.17
2011-01-04,24.83,1011,88,0
2011-01-05,25.08,1011,86,0
2011-01-06,24.89,1010,91,0
2011-01-07,24.61,1010,91,0
2011-01-08,25.29,1009,90,0
2011-01-09,25.16,1008,91,0.65
2011-01-10,25.61,1007,92,0
2011-01-11,25.58,1006,91,0.1
2011-01-12,24.78,1006,94,0
2011-01-13,25.57,1008,92,0
2011-01-14,25.63,1008,91,0
2011-01-15,26.37,1008,90,0
2011-01-16,25.3,1009,93,1
2011-01-17,25.4,1010,88,0
2011-01-18,24.7,1011,89,0.13
2011-01-19,24.66,1010,91,0.12
2011-01-20,25.15,1010,93,0
2011-01-21,25.4,1009,92,0
2011-01-22,25.93,1010,91,0
2011-01-23,25.83,1011,91,0
2011-01-24,25.59,1011,92,0
2011-01-25,25.66,1012,91,0
2011-01-26,25.57,1013,90,0.19
2011-01-27,25.96,1013,84,0
2011-01-28,24.81,1013,91,0.23
2011-01-29,24.99,1012,89,0
2011-01-30,24.58,1012,90,0
2011-01-31,24.97,1012,84,0
2011-02-01,25.0,1011,86,0
2011-02-02,23.75,1011,90,0.58
2011-02-03,24.42,1011,90,0.16
2011-02-04,25.14,1009,90,0
2011-02-05,25.57,1009,90,0
2011-02-06,25.16,1009,90,0
2011-02-07,25.59,1009,91,0
2011-02-08,25.36,1009,91,0.25
2011-02-09,26.28,1008,88,0
2011-02-10,26.73,1009,89,0
2011-02-11,25.18,1010,93,0
2011-02-12,26.22,1011,91,0
2011-02-13,25.64,1010,90,0
2011-02-14,25.55,1012,90,0
2011-02-15,25.68,1012,91,0
2011-02-16,25.64,1013,91,0
2011-02-17,25.89,1013,90,0
2011-02-18,25.68,1011,88,0
2011-02-19,25.75,1011,89,0
2011-02-20,26.24,1012,87,0
2011-02-21,26.0,1012,87,0
2011-02-22,25.55,1012,81,0.15
2011-02-23,25.33,1012,87,0
2011-02-24,25.16,1012,81,0
2011-02-25,25.3,1011,85,0
2011-02-26,25.06,1011,80,0
2011-02-27,25.08,1010,85,0
2011-02-28,24.72,1009,93,0
2011-03-01,25.3,1007,92,0
2011-03-02,25.14,1009,93,0
2011-03-03,25.34,1011,94,0
2011-03-04,24.97,1011,91,0.11
2011-03-05,25.92,1011,91,0
2011-03-06,25.77,1012,91,0
2011-03-07,25.95,1012,90,0
2011-03-08,25.9,1012,91,0
2011-03-09,26.22,1012,90,0
2011-03-10,26.46,1013,85,0
2011-03-11,25.79,1012,90,0.12
2011-03-12,25.64,1011,89,0
2011-03-13,25.55,1011,90,0
2011-03-14,25.9,1010,90,0
2011-03-15,25.44,1010,93,0
2011-03-16,25.85,1011,90,0
2011-03-17,25.21,1012,90,0
2011-03-18,25.78,1012,88,0
2011-03-19,25.25,1011,93,1.62
2011-03-20,25.29,1011,89,0.13
2011-03-21,25.54,1010,91,0
2011-03-22,26.22,1010,90,0
2011-03-23,26.52,1010,91,0
2011-03-24,25.62,1010,91,0
2011-03-25,25.96,1010,87,0
2011-03-26,25.77,1010,89,0
2011-03-27,25.52,1011,90,0.18
2011-03-28,25.5,1010,91,0
2011-03-29,25.77,1010,92,0
2011-03-30,26.2,1011,89,0
2011-03-31,26.07,1011,90,0
2011-04-01,25.48,1010,91,0.69
2011-04-02,25.5,1010,88,0
2011-04-03,24.98,1010,86,0
2011-04-04,25.47,1010,84,0
2011-04-05,25.39,1011,85,0
2011-04-06,25.47,1012,84,0
2011-04-07,25.63,1013,84,0
2011-04-08,25.2,1013,89,0
2011-04-09,25.08,1013,88,0
2011-04-10,25.56,1013,90,0
2011-04-11,25.87,1012,87,0
2011-04-12,25.43,1010,90,0
2011-04-13,25.89,1012,91,0
2011-04-14,26.46,1012,88,0
2011-04-15,25.79,1010,88,0
2011-04-16,26.73,1011,84,0
2011-04-17,26.37,1011,87,0
2011-04-18,26.2,1009,88,0
2011-04-19,27.26,1010,88,0
2011-04-20,27.05,1011,86,0
2011-04-21,27.06,1012,86,0
2011-04-22,26.97,1011,88,0
2011-04-23,26.45,1009,86,0
2011-04-24,26.73,1009,91,0
2011-04-25,26.46,1010,90,0
2011-04-26,27.06,1010,91,0
2011-04-27,26.6,1009,92,0
2011-04-28,27.39,1009,84,0
2011-04-29,27.46,1009,89,0
2011-04-30,27.21,1010,90,0
2011-05-01,27.11,1010,90,0
2011-05-02,27.13,1009,91,0
2011-05-03,27.3,1008,90,0
2011-05-04,26.97,1009,90,0
2011-05-05,26.98,1009,91,0
2011-05-06,26.19,1010,93,0
2011-05-07,26.19,1008,92,0
2011-05-08,26.01,1008,95,0
2011-05-09,25.34,1009,94,1.29
2011-05-10,26.56,1011,91,0.19
2011-05-11,26.19,1011,92,0
2011-05-12,26.37,1010,97,0
2011-05-13,26.92,1010,89,0
2011-05-14,27.35,1010,87,0
2011-05-15,27.5,1012,88,0
2011-05-16,27.27,1013,88,0
2011-05-17,27.17,1012,90,0
2011-05-18,26.88,1010,91,0
2011-05-19,26.53,1011,90,0
2011-05-20,27.27,1011,90,0.39
2011-05-21,26.77,1010,91,0.27
2011-05-22,26.98,1009,90,0
2011-05-23,26.63,1009,88,0.15
2011-05-24,26.2,1009,89,0
2011-05-25,26.81,1008,91,0
2011-05-26,26.78,1006,92,0
2011-05-27,26.35,1006,93,0.85
2011-05-28,26.16,1008,92,0.14
2011-05-29,26.19,1010,92,1.32
2011-05-30,26.31,1012,93,0
2011-05-31,27.37,1011,87,0
2011-06-01,27.22,1010,88,0
2011-06-02,26.22,1011,92,0
2011-06-03,26.93,1011,91,0
2011-06-04,26.35,1011,92,0
2011-06-05,27.72,1010,90,0
2011-06-06,28.03,1010,89,0
2011-06-07,27.3,1009,90,0
2011-06-08,26.35,1009,91,2.54
2011-06-09,25.93,1010,95,0.2
2011-06-10,26.86,1009,91,0
2011-06-11,26.65,1009,96,0
2011-06-12,27.14,1010,89,0
2011-06-13,26.99,1009,92,0.11
2011-06-14,26.79,1010,92,0.2
2011-06-15,26.74,1011,93,0
2011-06-16,26.1,1011,91,0.64
2011-06-17,26.14,1011,91,0
2011-06-18,25.76,1010,92,0.75
2011-06-19,25.48,1009,93,1.41
2011-06-20,25.95,1009,94,0.18
2011-06-21,26.88,1010,89,0
2011-06-22,26.39,1008,92,0.12
2011-06-23,26.55,1006,93,0.18
2011-06-24,26.24,1006,95,0.44
2011-06-25,26.97,1009,90,0.25
2011-06-26,27.21,1010,93,0
2011-06-27,27.31,1010,95,0
2011-06-28,26.73,1009,90,0
2011-06-29,27.77,1010,89,0
2011-06-30,25.8,1011,90,2.93
2011-07-01,26.02,1010,92,0.2
2011-07-02,26.02,1010,92,0.36
2011-07-03,26.0,1009,93,0.26
2011-07-04,25.71,1010,91,0.69
2011-07-05,25.92,1010,92,0.9
2011-07-06,25.42,1010,94,1.21
2011-07-07,25.78,1011,93,0.44
2011-07-08,25.8,1011,91,0
2011-07-09,26.81,1010,90,0
2011-07-10,26.43,1009,93,0
2011-07-11,26.36,1008,90,0
2011-07-12,26.08,1009,90,0
2011-07-13,25.79,1009,95,0
2011-07-14,26.25,1010,93,0
2011-07-15,26.37,1010,92,0
2011-07-16,27.21,1010,88,0
2011-07-17,26.73,1008,93,0
2011-07-18,26.95,1009,90,0
2011-07-19,26.65,1010,90,0
2011-07-20,27.08,1010,91,0.14
2011-07-21,26.36,1010,91,0
2011-07-22,25.99,1009,95,1.3
2011-07-23,25.53,1007,90,2.22
2011-07-24,25.99,1008,89,0
2011-07-25,26.09,1008,93,0.2
2011-07-26,25.97,1007,93,0.47
2011-07-27,25.6,1007,93,0.83
2011-07-28,25.77,1009,92,1.3
2011-07-29,26.28,1009,91,0.69
2011-07-30,25.58,1009,93,0.3
2011-07-31,26.24,1008,92,0.28
2011-08-01,26.14,1008,91,0.22
2011-08-02,26.36,1009,92,0.43
2011-08-03,26.72,1009,91,0
2011-08-04,25.82,1008,91,0.22
2011-08-05,26.18,1007,93,0.19
2011-08-06,25.65,1008,92,0.3
2011-08-07,25.76,1009,89,0.58
2011-08-08,27.03,1010,91,0
2011-08-09,26.32,1010,93,0
2011-08-10,26.09,1010,93,0.12
2011-08-11,26.38,1010,90,0
2011-08-12,25.31,1009,93,0
2011-08-13,26.46,1009,90,0
2011-08-14,25.65,1010,90,0.42
2011-08-15,25.48,1012,95,0
2011-08-16,27.19,1012,90,0.34
2011-08-17,25.98,1011,90,2.41
2011-08-18,26.06,1009,88,0
2011-08-19,25.71,1009,91,0.25
2011-08-20,26.31,1010,91,0.2
2011-08-21,26.18,1010,92,0
2011-08-22,25.78,1010,91,0.95
2011-08-23,26.33,1009,91,0.19
2011-08-24,25.89,1009,92,0.38
2011-08-25,25.8,1007,93,0.47
2011-08-26,25.9,1006,91,0.8
2011-08-27,25.86,1008,90,1.03
2011-08-28,26.65,1010,91,0
2011-08-29,26.78,1011,92,0.11
2011-08-30,26.96,1011,90,0
2011-08-31,26.08,1011,92,0.52
2011-09-01,25.87,1010,92,1.52
2011-09-02,25.84,1010,92,0
2011-09-03,26.53,1010,91,0
2011-09-04,26.73,1010,92,0
2011-09-05,26.27,1010,93,0
2011-09-06,26.29,1011,91,0.11
2011-09-07,26.53,1010,92,0
2011-09-08,26.58,1009,90,0.61
2011-09-09,25.87,1011,93,0.42
