date,precipitation,max_temp,min_temp
2010-12-31,5.95,301.39,296.87
2011-01-01,4.37,300.22,297.02
2011-01-02,50.81,298.95,297.32
2011-01-03,5.23,299.15,296.96
2011-01-04,0.05,300.15,296.64
2011-01-05,3.58,300.89,296.77
2011-01-06,4.51,299.65,296.92
2011-01-07,1.02,300.74,296.64
2011-01-08,7.29,301.67,297.22
2011-01-09,3.18,302.21,297.31
2011-01-10,1.72,300.91,297.6
2011-01-11,32.85,300.2,297.28
2011-01-12,2.45,301.38,297.11
2011-01-13,9.9,300.67,297.18
2011-01-14,2.72,302.57,297.3
2011-01-15,12.89,301.96,296.98
2011-01-16,5.2,301.29,297.13
2011-01-17,9.0,299.52,296.67
2011-01-18,2.82,298.45,296.58
2011-01-19,1.06,302.68,296.54
2011-01-20,5.36,302.18,296.95
2011-01-21,1.04,303.27,296.94
2011-01-22,1.76,302.51,297.64
2011-01-23,1.87,302.49,297.63
2011-01-24,2.14,301.66,297.62
2011-01-25,3.57,301.5,297.46
2011-01-26,3.98,301.25,297.32
2011-01-27,19.79,299.82,297.28
2011-01-28,4.76,299.59,297.03
2011-01-29,0.13,301.68,296.64
2011-01-30,0.13,301.08,296.49
2011-01-31,0.13,301.05,296.32
2011-02-01,6.7,298.67,296.37
2011-02-02,8.95,298.28,295.89
2011-02-03,1.87,300.98,296.68
2011-02-04,2.49,302.82,297.23
2011-02-05,0.49,302.65,297.52
2011-02-06,0.9,302.01,297.18
2011-02-07,1.85,302.66,297.26
2011-02-08,1.57,303.18,297.4
2011-02-09,0.93,303.86,296.51
2011-02-10,12.02,304.32,297.6
2011-02-11,6.32,304.11,296.93
2011-02-12,1.47,302.76,297.31
2011-02-13,1.59,301.16,297.4
2011-02-14,1.85,302.29,296.95
2011-02-15,1.36,303.03,296.95
2011-02-16,2.06,302.42,297.48
2011-02-17,0.13,303.22,297.69
2011-02-18,1.65,303.13,297.55
2011-02-19,2.45,302.46,297.21
2011-02-20,1.08,302.35,297.66
2011-02-21,0.32,303.09,297.3
2011-02-22,0.39,302.35,296.92
2011-02-23,0.01,301.77,296.69
2011-02-24,0.02,302.3,296.24
2011-02-25,1.11,301.58,296.49
2011-02-26,0.06,301.99,296.5
2011-02-27,3.39,299.94,296.97
2011-02-28,5.65,300.44,297.27
2011-03-01,4.11,302.48,297.62
2011-03-02,3.79,302.78,296.62
2011-03-03,6.47,301.95,297.23
2011-03-04,4.98,302.77,297.03
2011-03-05,0.93,302.65,296.95
2011-03-06,0.38,303.59,297.3
2011-03-07,1.21,303.99,297.24
2011-03-08,0.87,304.07,297.59
2011-03-09,1.48,303.17,297.35
2011-03-10,2.56,302.59,297.22
2011-03-11,1.34,302.08,297.43
2011-03-12,3.78,301.12,297.37
2011-03-13,1.92,302.62,297.41
2011-03-14,22.28,299.26,297.7
2011-03-15,6.94,301.57,296.82
2011-03-16,2.87,300.97,297.18
2011-03-17,1.52,301.53,297.15
2011-03-18,10.17,300.29,297.36
2011-03-19,11.72,300.32,297.31
2011-03-20,2.82,302.07,297.4
2011-03-21,1.3,302.73,297.53
2011-03-22,1.23,303.87,298.06
2011-03-23,3.77,302.06,297.84
2011-03-24,0.57,302.14,297.33
2011-03-25,3.56,301.49,297.69
2011-03-26,5.52,300.04,297.71
2011-03-27,2.3,301.74,297.58
2011-03-28,1.12,302.65,297.38
2011-03-29,1.57,302.3,297.73
2011-03-30,2.4,302.13,298.06
2011-03-31,3.72,302.7,297.66
2011-04-01,2.59,302.08,297.49
2011-04-02,0.0,303.25,296.17
2011-04-03,0.02,304.19,295.89
2011-04-04,0.02,303.88,296.9
2011-04-05,0.03,302.99,296.85
2011-04-06,0.04,302.23,296.73
2011-04-07,0.0,303.05,296.91
2011-04-08,0.54,302.75,297.01
2011-04-09,0.06,303.38,296.67
2011-04-10,1.31,303.01,297.07
2011-04-11,1.25,302.09,297.23
2011-04-12,2.89,302.69,297.98
2011-04-13,1.19,303.32,297.86
2011-04-14,0.02,303.37,297.57
2011-04-15,0.34,303.2,297.5
2011-04-16,0.74,304.35,298.44
2011-04-17,1.77,304.32,297.59
2011-04-18,0.13,305.04,296.63
2011-04-19,0.2,305.61,296.5
2011-04-20,1.61,303.57,297.66
2011-04-21,1.51,303.55,298.45
2011-04-22,0.18,304.02,298.63
2011-04-23,0.74,304.81,297.61
2011-04-24,4.87,302.83,298.11
2011-04-25,1.92,304.46,298.31
2011-04-26,3.92,304.19,298.13
2011-04-27,0.18,305.2,297.86
2011-04-28,1.25,304.86,298.2
2011-04-29,2.17,303.38,298.74
2011-04-30,1.05,304.0,299.19
2011-05-01,0.93,303.93,298.64
2011-05-02,1.67,304.22,298.8
2011-05-03,4.11,304.38,298.9
2011-05-04,7.11,302.94,298.67
2011-05-05,6.0,303.44,298.21
2011-05-06,0.57,302.61,297.68
2011-05-07,11.67,301.1,298.17
2011-05-08,17.11,299.9,297.4
2011-05-09,23.47,300.57,297.38
2011-05-10,3.28,303.13,298.46
2011-05-11,9.76,302.68,297.7
2011-05-12,2.33,304.15,297.5
2011-05-13,1.18,305.72,298.07
2011-05-14,0.83,304.44,298.57
2011-05-15,1.02,304.56,298.91
2011-05-16,1.6,303.46,298.68
2011-05-17,3.25,304.92,298.44
2011-05-18,4.15,303.75,297.64
2011-05-19,3.66,303.85,298.51
2011-05-20,5.43,304.5,298.24
2011-05-21,5.03,304.72,298.5
2011-05-22,6.7,304.58,297.99
2011-05-23,19.66,303.99,298.29
2011-05-24,10.69,303.81,298.08
2011-05-25,7.68,303.62,298.16
2011-05-26,10.88,301.66,298.48
2011-05-27,21.55,300.2,298.51
2011-05-28,52.36,301.58,298.16
