,week,dt,Cases,temp,feels_like,pressure,humidity,precipitation
0,2022-1,2022-01-01,7.0,298.38,299.64,1013.0,87.0,3.14
1,2022-2,2022-01-08,1.0,302.23,308.88,1011.0,68.0,0.0
2,2022-3,2022-01-15,2.0,300.74,304.09,1013.0,58.0,0.0
3,2022-4,2022-01-22,3.0,302.42,309.89,1010.0,63.0,0.0
4,2022-5,2022-01-29,3.0,303.37,308.69,1010.0,64.0,0.42
5,2022-6,2022-02-05,3.0,301.28,308.3,1011.0,69.0,0.0
6,2022-7,2022-02-12,1.0,302.67,305.46,1008.0,69.0,8.65
7,2022-8,2022-02-19,1.0,304.0,307.95,1009.0,62.0,0.0
8,2022-9,2022-02-26,1.0,302.96,308.04,1012.0,58.0,0.0
9,2022-10,2022-03-05,1.0,304.33,309.56,1009.0,59.0,0.4
10,2022-11,2022-03-12,1.0,304.28,309.94,1007.0,65.0,8.13
11,2022-12,2022-03-19,2.0,305.86,312.53,1007.0,55.0,0.0
12,2022-13,2022-03-26,2.0,305.77,311.74,1011.0,47.0,0.0
13,2022-14,2022-04-02,4.0,304.49,310.63,1010.0,53.0,0.0
14,2022-15,2022-04-09,6.0,302.26,305.38,1007.0,65.0,4.24
15,2022-16,2022-04-16,0.0,302.93,310.03,1009.0,65.0,0.0
16,2022-17,2022-04-23,3.0,304.9,312.05,1009.0,58.0,0.0
17,2022-18,2022-04-30,9.0,304.2,311.58,1009.0,64.0,0.0
18,2022-19,2022-05-07,12.0,305.68,312.89,1008.0,57.0,0.0
19,2022-20,2022-05-14,17.0,304.41,308.31,1009.0,62.0,7.63
20,2022-21,2022-05-21,9.0,300.89,310.16,1009.0,76.0,23.96
21,2022-22,2022-05-28,19.0,302.98,308.33,1009.0,69.0,7.18
22,2022-23,2022-06-04,30.0,304.62,311.64,1010.0,61.0,0.13
23,2022-24,2022-06-11,15.0,303.69,308.57,1009.0,65.0,10.31
24,2022-25,2022-06-18,20.0,305.12,311.82,1008.0,60.0,0.37
25,2022-26,2022-06-25,36.0,303.79,310.6,1008.0,66.0,0.24
26,2022-27,2022-07-02,69.0,302.83,312.61,1007.0,68.0,4.06
27,2022-28,2022-07-09,87.0,302.03,308.45,1006.0,74.0,0.59
28,2022-29,2022-07-16,91.0,302.46,310.24,1008.0,74.0,15.91
29,2022-30,2022-07-23,95.0,303.8,311.08,1008.0,68.0,0.47000000000000003
30,2022-31,2022-07-30,109.0,301.57,308.97,1008.0,77.0,9.22
31,2022-32,2022-08-06,139.0,302.4,303.39,1007.0,68.0,15.29
32,2022-33,2022-08-13,27.0,303.44,309.17,1008.0,68.0,44.93
33,2022-34,2022-08-20,29.0,302.55,310.5,1009.0,68.0,3.38
34,2022-35,2022-08-27,29.0,302.43,310.19,1007.0,72.0,2.76
35,2022-36,2022-09-03,28.0,303.1,310.89,1008.0,71.0,0.0
36,2022-37,2022-09-10,26.0,302.59,311.48,1010.0,73.0,0.0
37,2022-38,2022-09-17,20.0,302.61,308.91,1008.0,71.0,1.51
38,2022-39,2022-09-24,21.0,303.17,308.91,1006.0,67.0,35.16
39,2022-40,2022-10-01,18.0,303.91,310.74,1009.0,67.0,0.0
40,2022-41,2022-10-08,7.0,303.31,309.45,1009.0,71.0,7.35
41,2022-42,2022-10-15,6.0,302.87,309.94,1006.0,71.0,0.49
42,2022-43,2022-10-22,6.0,304.27,310.82,1010.0,67.0,8.65
43,2022-44,2022-10-29,10.0,300.18,299.44,1002.0,84.0,95.64
44,2022-45,2022-11-05,10.0,303.38,310.79,1011.0,69.0,0.0
