,index,week,date,cases,temperature,pressure,humidity,precipitation
0,0,2016-1,2016-01-10,19.0,303.4371428571429,1012.2857142857143,71.42857142857143,1.02
1,1,2016-2,2016-01-17,23.0,303.90857142857146,1012.8571428571429,65.57142857142857,0.0
2,2,2016-3,2016-01-24,31.0,302.2514285714286,1014.4285714285714,76.85714285714286,32.85
3,3,2016-4,2016-01-31,26.0,302.7785714285714,1011.1428571428571,75.14285714285714,17.05
4,4,2016-5,2016-02-07,10.0,303.2857142857143,1012.4285714285714,70.57142857142857,3.7
5,5,2016-6,2016-02-14,11.0,301.53428571428566,1014.1428571428571,80.0,66.56
6,6,2016-7,2016-02-21,10.0,302.63571428571424,1014.4285714285714,73.0,9.690000000000001
7,7,2016-8,2016-02-28,18.0,303.13571428571424,1013.2857142857143,73.28571428571429,1.17
8,8,2016-9,2016-03-06,12.0,304.66857142857145,1012.1428571428571,66.0,1.03
9,9,2016-10,2016-03-13,14.0,304.7657142857143,1012.0,63.0,0.0
10,10,2016-11,2016-03-20,11.0,305.38428571428574,1012.5714285714286,60.0,0.0
11,11,2016-12,2016-03-27,8.0,305.65000000000003,1013.4285714285714,61.285714285714285,1.12
12,12,2016-13,2016-04-03,5.0,306.35857142857145,1012.1428571428571,59.285714285714285,0.78
13,13,2016-14,2016-04-10,13.0,306.46714285714285,1010.5714285714286,60.0,10.09
14,14,2016-15,2016-04-17,7.0,306.69428571428574,1011.4285714285714,55.57142857142857,0.61
15,15,2016-16,2016-04-24,8.0,306.43142857142857,1009.8571428571429,59.42857142857143,6.08
16,16,2016-17,2016-05-01,8.0,306.75857142857143,1010.5714285714286,61.142857142857146,7.86
17,17,2016-18,2016-05-08,8.0,306.9557142857143,1009.2857142857143,57.42857142857143,1.54
18,18,2016-19,2016-05-15,6.0,306.2857142857143,1008.8571428571429,60.57142857142857,21.58
19,19,2016-20,2016-05-22,13.0,304.46571428571434,1010.7142857142857,68.85714285714286,41.53
20,20,2016-21,2016-05-29,10.0,304.40285714285716,1010.2857142857143,71.42857142857143,52.44
21,21,2016-22,2016-06-05,9.0,303.9971428571429,1011.0,73.57142857142857,39.76
22,22,2016-23,2016-06-12,12.0,304.25714285714287,1010.0,72.28571428571429,30.66
23,23,2016-24,2016-06-19,7.0,303.0285714285714,1008.8571428571429,75.42857142857143,106.15
24,24,2016-25,2016-06-26,20.0,302.4242857142857,1010.1428571428571,78.85714285714286,82.27000000000001
25,25,2016-26,2016-07-03,12.0,301.4342857142857,1009.1428571428571,87.0,120.76
26,26,2016-27,2016-07-10,20.0,303.4614285714286,1009.8571428571429,75.28571428571429,26.35
27,27,2016-28,2016-07-17,31.0,304.0285714285714,1009.7142857142857,73.85714285714286,21.36
28,28,2016-29,2016-07-24,53.0,302.7757142857143,1008.2857142857143,77.14285714285714,60.86
29,29,2016-30,2016-07-31,104.0,301.64285714285717,1008.1428571428571,84.14285714285714,95.67999999999999
30,30,2016-31,2016-08-07,129.0,301.84285714285716,1008.5714285714286,84.0,73.78999999999999
31,31,2016-32,2016-08-14,122.0,303.0414285714286,1007.1428571428571,81.28571428571429,56.86
32,32,2016-33,2016-08-21,159.0,302.01000000000005,1007.0,83.28571428571429,103.41
