Feature,Importance
Temperature_lag_4,0.1412506166404544
Humidity_lag_4,0.09903560871371479
Temperature,0.07601176888775021
Temperature_lag_1,0.07372745837360326
Precipitation_lag_4,0.07125944001921106
Precipitation_lag_3,0.07088106449415714
Precipitation_lag_2,0.06667449138060631
Temperature_lag_3,0.06289095509469012
Precipitation_lag_1,0.06230573052425737
Temperature_lag_2,0.05950912138843723
Humidity_lag_3,0.05485056233561986
Precipitation,0.05407644044157365
Humidity,0.039447970816408016
Humidity_lag_1,0.03405244230454211
Humidity_lag_2,0.03402632858497427
