Feature,Importance
Cases_lag_1,0.6514852688718631
Cases_lag_2,0.15408033460939166
Temperature,0.025373342955665755
Cases_lag_3,0.015964636628308562
Precipitation_lag_3,0.015819859092084658
Humidity,0.013962851347980532
Cases_lag_11,0.012347684672980152
Humidity_lag_1,0.010183113375850998
Temperature_lag_1,0.009947128119169365
Cases_lag_5,0.009548853196000011
Temperature_lag_4,0.007094501249960623
Precipitation,0.006917699781142598
Humidity_lag_3,0.006804595059311055
Precipitation_lag_1,0.006611518144731134
Cases_lag_7,0.006577282253514991
Precipitation_lag_2,0.006521021040361326
Cases_lag_4,0.006515279910900585
Precipitation_lag_4,0.005139837263121502
Cases_lag_6,0.004722197275422787
Temperature_lag_3,0.004687377990346733
Temperature_lag_2,0.004304509626757701
Cases_lag_8,0.004054335555089916
Cases_lag_10,0.0032692409652927594
Humidity_lag_4,0.0029803041186433586
Humidity_lag_2,0.002851966215312325
Cases_lag_9,0.0022352606807957607
