Feature,Importance
Cases_lag_4,0.311200947880705
Cases_lag_5,0.13404720000310819
Precipitation,0.07201965024676923
Cases_lag_10,0.056478393953203684
Humidity,0.04568690329976441
Precipitation_lag_2,0.04553642789469875
Cases_lag_8,0.04050604786944558
Temperature,0.03409092827437604
Temperature_lag_2,0.03152296128709838
Temperature_lag_1,0.02735547211095744
Temperature_lag_3,0.02718751262196233
Cases_lag_6,0.023901750125486725
Precipitation_lag_3,0.023493416885158793
Cases_lag_9,0.01804760235921906
Precipitation_lag_4,0.01716555263185
Cases_lag_11,0.014749821855194776
Precipitation_lag_1,0.013247801442560185
Humidity_lag_4,0.012836450760484085
Temperature_lag_4,0.012298294924610272
Humidity_lag_1,0.010862050378852297
Humidity_lag_2,0.01039495900030186
Humidity_lag_3,0.009109168643904176
Cases_lag_7,0.00826068555028865
