Feature,Importance
Precipitation_lag_1,0.1637647535634649
Temperature_lag_4,0.11934999060419557
Humidity_lag_4,0.11250608144898191
Precipitation_lag_3,0.0864923374659895
Precipitation_lag_2,0.07745847210887379
Humidity,0.06404138044931568
Precipitation,0.05675921489454029
Precipitation_lag_4,0.04670622882533346
Temperature,0.04611508257599748
Humidity_lag_1,0.0447656452258809
Temperature_lag_2,0.04411114295679607
Humidity_lag_2,0.038467365627059824
Humidity_lag_3,0.03482560188750684
Temperature_lag_3,0.03264345897229449
Temperature_lag_1,0.03199324339376935
