Feature,Importance
Humidity,0.1556766747754827
Temperature_lag_4,0.0993416676839598
Precipitation_lag_1,0.09448630960377419
Temperature,0.08448583642625847
Humidity_lag_1,0.08183101785540003
Temperature_lag_3,0.06502743020392177
Precipitation,0.06151722874305912
Precipitation_lag_2,0.05587364146307397
Humidity_lag_3,0.05259538269442404
Humidity_lag_4,0.052432513664823585
Humidity_lag_2,0.04668281030923775
Temperature_lag_1,0.044898694332297824
Temperature_lag_2,0.04071026214537361
Precipitation_lag_3,0.03314509654904228
Precipitation_lag_4,0.03129543354987082
