Feature,Importance
Cases_lag_8,0.136112221590912
Cases_lag_10,0.11855443947007721
Precipitation,0.097281952005789
Cases_lag_11,0.07577348839611825
Temperature_lag_4,0.07258333262360264
Cases_lag_9,0.0693245785156685
Humidity_lag_3,0.058073048143537136
Humidity_lag_4,0.052668470480642784
Humidity,0.03961145117158375
Temperature_lag_3,0.034348045764258095
Precipitation_lag_3,0.03353776095936734
Humidity_lag_1,0.0311865191650426
Precipitation_lag_4,0.02988854795340915
Temperature,0.02762263920029272
Precipitation_lag_2,0.0263174740736098
Humidity_lag_2,0.02600112618933817
Temperature_lag_1,0.02566327968414242
Precipitation_lag_1,0.02536774812980615
Temperature_lag_2,0.02008387648280222
