Feature,Importance
Cases_lag_9,0.1208539889970104
Temperature_lag_3,0.11535749504792463
Cases_lag_8,0.08920202632711119
Temperature_lag_4,0.0869727902117132
Temperature_lag_2,0.06458591201182932
Humidity,0.06132154469897933
Precipitation_lag_3,0.04333699077173515
Temperature,0.041693421487428536
Humidity_lag_4,0.041643058556710404
Cases_lag_10,0.0414927336384135
Humidity_lag_3,0.040241559346599454
Precipitation_lag_4,0.037752993162961754
Precipitation,0.03481531714313096
Humidity_lag_2,0.03361339650787925
Temperature_lag_1,0.03348009509489214
Precipitation_lag_2,0.03319880846275018
Cases_lag_11,0.029660878666485202
Precipitation_lag_1,0.02888037211431784
Humidity_lag_1,0.02189661775212769
