Feature,Importance
Cases_lag_8,0.2960518478128192
Temperature_lag_4,0.08447386988867507
Cases_lag_10,0.0731263924189871
Precipitation_lag_2,0.06878229618725822
Cases_lag_9,0.0662527967840985
Humidity_lag_4,0.055066771337606235
Humidity,0.04750730276650885
Precipitation_lag_4,0.04521318575658476
Precipitation_lag_1,0.03973291496785274
Precipitation,0.038750595286728515
Precipitation_lag_3,0.03625117211228527
Cases_lag_11,0.029383043817293366
Humidity_lag_3,0.024159743187815694
Humidity_lag_1,0.018031230554871543
Temperature_lag_3,0.017957237256231547
Temperature,0.017205094344244835
Temperature_lag_1,0.015072906644264061
Humidity_lag_2,0.014484316493025375
Temperature_lag_2,0.012497282382849228
