Feature,Importance
Cases_lag_2,0.3642437064494263
Cases_lag_1,0.29032682466185566
Cases_lag_3,0.053320388238580145
Cases_lag_4,0.037776589864834134
Cases_lag_6,0.021409823931771228
Precipitation_lag_2,0.018651305274059546
Humidity_lag_4,0.01756719364635695
Cases_lag_5,0.01547001976788828
Temperature_lag_3,0.015253915707530652
Precipitation_lag_1,0.015088659587198402
Cases_lag_11,0.014636164363067103
Cases_lag_10,0.014468250156560726
Humidity_lag_3,0.014451395344451154
Precipitation,0.014095292974517119
Precipitation_lag_4,0.0101721420721622
Temperature_lag_4,0.01000745480440555
Temperature,0.00928925907227318
Humidity_lag_2,0.008683576674675718
Temperature_lag_2,0.00772256861413479
Temperature_lag_1,0.007661043537705569
Precipitation_lag_3,0.00751405395256209
Humidity_lag_1,0.0074052433710375416
Cases_lag_9,0.00717563964600669
Cases_lag_7,0.006999000119875169
Humidity,0.006323940190120453
Cases_lag_8,0.004286547976943674
