Feature,Importance
Precipitation_lag_2,0.12684120755389627
Temperature_lag_1,0.10513121506030236
Temperature_lag_3,0.07662649190571641
Temperature,0.0743387944031012
Humidity_lag_3,0.07111184180538693
Precipitation_lag_3,0.06603279944959167
Temperature_lag_4,0.06364435097613552
Temperature_lag_2,0.062338574340387434
Humidity,0.057825248091253945
Precipitation_lag_1,0.05633107646123902
Humidity_lag_4,0.055651469058812596
Precipitation,0.05374971669213428
Humidity_lag_1,0.048409800528425716
Humidity_lag_2,0.04475809085830537
Precipitation_lag_4,0.03720932281531125
