Feature,Importance
Cases_lag_8,0.23098599363569716
Cases_lag_9,0.1696772061568347
Temperature_lag_4,0.09441342660574945
Cases_lag_10,0.07550971181123174
Humidity_lag_4,0.056193174058676854
Humidity_lag_3,0.04964343378324752
Precipitation_lag_3,0.04763873811524119
Cases_lag_11,0.030860217094732963
Precipitation,0.030465577241284188
Precipitation_lag_2,0.02991964197740549
Temperature_lag_3,0.028516941320934065
Humidity_lag_2,0.026077675421965582
Humidity,0.022545261564876944
Humidity_lag_1,0.02000175095182735
Temperature_lag_2,0.019597086729622657
Temperature_lag_1,0.0180394249831109
Precipitation_lag_4,0.017403478594924946
Temperature,0.017387199900845925
Precipitation_lag_1,0.015124060051790473
