Feature,Importance
Cases_lag_2,0.5796711472675792
Cases_lag_3,0.10661495876800839
Humidity_lag_3,0.05729246609048312
Temperature_lag_3,0.04616058391041973
Cases_lag_4,0.031131698898522374
Temperature_lag_4,0.020422691799797398
Precipitation_lag_1,0.019794590607273697
Humidity_lag_4,0.0167115353108544
Cases_lag_9,0.014769596919652288
Temperature_lag_2,0.01274903140176941
Precipitation_lag_3,0.010816928081076028
Humidity_lag_2,0.010229897162968798
Cases_lag_5,0.009996457264593514
Temperature,0.008559207782499259
Cases_lag_7,0.008521753016546186
Cases_lag_6,0.0070974437669564195
Humidity,0.006094891380171532
Cases_lag_10,0.005477506732937842
Precipitation,0.005377664557055338
Cases_lag_11,0.005173156749087567
Precipitation_lag_2,0.004809163449104789
Cases_lag_8,0.003836657167769393
Humidity_lag_1,0.003637781930017088
Precipitation_lag_4,0.003498658361357003
Temperature_lag_1,0.0015545316234992646
