Feature,Importance
Cases_lag_1,0.72000177270259
Cases_lag_2,0.04629201862726084
Cases_lag_3,0.021446218528721295
Precipitation_lag_3,0.017868309469262815
Humidity_lag_4,0.013609183525821482
Temperature,0.012709549165876194
Precipitation_lag_2,0.012647946289882141
Precipitation_lag_4,0.01253587108662608
Temperature_lag_3,0.012242578693697199
Temperature_lag_4,0.011996483782779385
Cases_lag_7,0.011724498932971852
Humidity,0.011506415560607077
Cases_lag_8,0.01145417490424441
Humidity_lag_2,0.010692753663783553
Precipitation,0.010665975225407924
Temperature_lag_2,0.007631998546823584
Cases_lag_11,0.007612933924293792
Cases_lag_5,0.006700672785129011
Temperature_lag_1,0.00614663084685803
Humidity_lag_3,0.005736358250906777
Cases_lag_10,0.005559264234939904
Precipitation_lag_1,0.0054425443562277675
Cases_lag_4,0.005295853710494819
Humidity_lag_1,0.004818779783048274
Cases_lag_6,0.00422148414815628
Cases_lag_9,0.0034397292535895186
