Feature,Importance
Cases_lag_4,0.5877314607389672
Temperature_lag_4,0.04190579893918414
Cases_lag_10,0.04093882502593029
Cases_lag_9,0.03924008552282526
Cases_lag_8,0.034430040353961924
Cases_lag_11,0.02796614944949854
Cases_lag_5,0.024248726247731608
Cases_lag_7,0.020286076364752284
Precipitation_lag_1,0.01967799879641051
Precipitation_lag_3,0.019621469930791405
Precipitation_lag_2,0.01921118652863645
Precipitation,0.018153134273665033
Humidity_lag_4,0.01801626107039579
Cases_lag_6,0.016632067586820884
Temperature_lag_3,0.011328181420127934
Humidity,0.009133858973316256
Temperature,0.009011376229602582
Temperature_lag_1,0.008566085011383496
Humidity_lag_2,0.007724969662952399
Precipitation_lag_4,0.00761822710404652
Humidity_lag_1,0.006566790385750921
Temperature_lag_2,0.006392790300757366
Humidity_lag_3,0.005598440082491373
