Feature,Importance
Cases_lag_2,0.34001181947049464
Cases_lag_3,0.15432106953654412
Cases_lag_5,0.09890969489013964
Cases_lag_4,0.08775188568163184
Cases_lag_10,0.038449255933059395
Humidity_lag_3,0.029048038847238958
Temperature_lag_4,0.02056204281369436
Precipitation_lag_4,0.01921774031987928
Temperature_lag_1,0.018377223637149918
Precipitation,0.016774373526186864
Temperature_lag_3,0.015873801273572852
Humidity_lag_2,0.014675250253090624
Temperature,0.014398360558880554
Humidity_lag_4,0.013980050318205383
Precipitation_lag_2,0.012668785524389933
Cases_lag_9,0.012598124695301523
Cases_lag_11,0.01192945187309428
Cases_lag_8,0.011887070557632365
Cases_lag_6,0.011350463582262897
Cases_lag_7,0.0113485684607486
Precipitation_lag_1,0.011282380951267053
Humidity_lag_1,0.009850075495259117
Precipitation_lag_3,0.008808093948852933
Humidity,0.008550162352328201
Temperature_lag_2,0.007376215499094806
