Feature,Importance
Cases_lag_1,0.2936925289381042
Cases_lag_3,0.18814295828929747
Cases_lag_2,0.18299584725962004
Temperature_lag_4,0.04234622009395145
Cases_lag_4,0.02091180989932486
Humidity_lag_3,0.020561830102316825
Cases_lag_9,0.019812076150863906
Humidity_lag_2,0.018642913981659123
Temperature_lag_3,0.01812281184985202
Cases_lag_5,0.017751111653922378
Precipitation_lag_3,0.015974367852292774
Precipitation,0.015483499795734205
Precipitation_lag_4,0.014991906371150639
Precipitation_lag_2,0.014860558390443203
Humidity,0.013871920710654219
Temperature,0.01288510428255359
Temperature_lag_2,0.012726360988193965
Precipitation_lag_1,0.012558876344999857
Humidity_lag_4,0.012048908989825448
Cases_lag_8,0.011630494908115912
Cases_lag_7,0.011433638638511394
Humidity_lag_1,0.008753489337388067
Cases_lag_6,0.007440559349790296
Temperature_lag_1,0.006727389775007907
Cases_lag_10,0.004166618146187679
Cases_lag_11,0.001466197900238536
