Feature,Importance
Temperature_lag_4,0.1817137218322695
Cases_lag_8,0.13105405925550004
Cases_lag_9,0.09113645418874021
Cases_lag_11,0.0713380350752987
Precipitation,0.05410518972936701
Precipitation_lag_4,0.05264051526496771
Humidity_lag_4,0.05243124256234888
Precipitation_lag_1,0.04744875871592896
Cases_lag_10,0.04556286922068
Temperature,0.04138572101760971
Humidity_lag_3,0.04051492605489999
Humidity,0.03294734178996506
Humidity_lag_2,0.027761189571292474
Humidity_lag_1,0.02533971889754585
Temperature_lag_2,0.02500723217550012
Temperature_lag_3,0.02335044748662853
Temperature_lag_1,0.023289283420653093
Precipitation_lag_2,0.017164764232135747
Precipitation_lag_3,0.0158085295086683
