Feature,Importance
Cases_lag_8,0.1655999902548577
Cases_lag_10,0.13130104959214042
Temperature_lag_3,0.1269435874820079
Temperature_lag_4,0.10261274369815726
Precipitation_lag_1,0.10242241811109218
Cases_lag_9,0.06243825280607557
Cases_lag_11,0.05345156823073492
Temperature_lag_2,0.05139622015592708
Temperature_lag_1,0.030061749460868627
Humidity_lag_4,0.0255989366564182
Temperature,0.022890361938219018
Precipitation_lag_3,0.022201573981055205
Precipitation,0.019087320718493696
Humidity_lag_2,0.0176134684411371
Precipitation_lag_4,0.016611571651577728
Humidity_lag_1,0.01611083895639161
Precipitation_lag_2,0.015939469348228506
Humidity,0.009560631503495622
Humidity_lag_3,0.008158247013121778
