Feature,Importance
Cases_lag_4,0.4569007365940325
Cases_lag_7,0.10547524651333424
Cases_lag_6,0.05360072118607317
Humidity_lag_4,0.048106051226549505
Cases_lag_5,0.04638722831688654
Cases_lag_8,0.03541165962930762
Humidity_lag_3,0.03305814351950029
Temperature_lag_4,0.03250707524577739
Humidity_lag_2,0.023502216786053524
Temperature_lag_2,0.02294808742871243
Cases_lag_10,0.021449917846129207
Temperature_lag_3,0.02080460406963589
Cases_lag_9,0.016413953146786068
Cases_lag_11,0.013948215949337922
Precipitation_lag_1,0.012701937960853456
Temperature,0.011989298904861662
Precipitation_lag_2,0.008100543093146667
Humidity,0.007199695516427628
Humidity_lag_1,0.006879699778427862
Precipitation_lag_3,0.006585514934110312
Temperature_lag_1,0.006224204392311428
Precipitation,0.005421983765558658
Precipitation_lag_4,0.004383264196185988
