Feature,Importance
Cases_lag_2,0.3842590931939383
Cases_lag_3,0.1560852749724021
Temperature_lag_4,0.03767173355268658
Humidity_lag_4,0.031432481780395684
Cases_lag_6,0.03128238002852016
Precipitation_lag_3,0.026534703891939192
Precipitation_lag_2,0.023216417072034846
Humidity,0.02313498399729107
Temperature_lag_3,0.022877319931054196
Cases_lag_7,0.021340031202971198
Precipitation_lag_4,0.02098421024974916
Temperature,0.020082881812076424
Humidity_lag_1,0.019873565145440822
Humidity_lag_2,0.019721041294356517
Precipitation,0.01956826067582395
Cases_lag_8,0.01923926150701668
Cases_lag_10,0.016849667516709223
Precipitation_lag_1,0.0165783672519613
Humidity_lag_3,0.016465095067947803
Cases_lag_9,0.016407694223831815
Temperature_lag_2,0.01575702323690299
Temperature_lag_1,0.013697656963767613
Cases_lag_5,0.009681738773230877
Cases_lag_4,0.008743206316331402
Cases_lag_11,0.008515910341620081
