Feature,Importance
Cases_lag_1,0.7755148316731104
Cases_lag_2,0.0646518918754148
Humidity_lag_2,0.025283563373194606
Precipitation_lag_3,0.019754753352132556
Temperature_lag_3,0.009741473485868877
Precipitation_lag_1,0.009654286506003721
Humidity_lag_4,0.00883527387333638
Temperature,0.0073104153347202955
Cases_lag_3,0.007074880618604727
Temperature_lag_1,0.006986043357190225
Humidity,0.006651420191685051
Temperature_lag_4,0.006476482082247244
Cases_lag_4,0.006199735377978361
Precipitation_lag_2,0.006076854757485788
Precipitation_lag_4,0.005889415463775221
Humidity_lag_1,0.005669376997590263
Cases_lag_8,0.003933300125760331
Temperature_lag_2,0.0038909545184386326
Humidity_lag_3,0.0037134587881954458
Precipitation,0.0030967543984022306
Cases_lag_9,0.002919552769493223
Cases_lag_5,0.002574167203843252
Cases_lag_6,0.002507643370692337
Cases_lag_11,0.0022960817821283783
Cases_lag_7,0.0018307578477704074
Cases_lag_10,0.00146663087493707
