Feature,Importance
Cases_lag_2,0.6121851968215896
Cases_lag_3,0.11424097738938419
Cases_lag_4,0.04558422358362061
Precipitation,0.031457342814825304
Precipitation_lag_1,0.029262179133771667
Temperature_lag_4,0.019982719115482012
Precipitation_lag_4,0.019225856303211532
Humidity_lag_1,0.01910842369461415
Cases_lag_10,0.012990351973852624
Cases_lag_5,0.01056704177390221
Precipitation_lag_2,0.009979349429604822
Humidity,0.009082205783318436
Temperature_lag_3,0.008425377991440471
Cases_lag_7,0.008292857964445533
Cases_lag_8,0.0070507084402164355
Humidity_lag_3,0.006591646270695964
Humidity_lag_2,0.006176645471157417
Cases_lag_11,0.006010723192197502
Cases_lag_9,0.005336470340142858
Precipitation_lag_3,0.004041385839423012
Temperature,0.003426369363571941
Temperature_lag_1,0.0033861816900040962
Humidity_lag_4,0.003083101709912447
Temperature_lag_2,0.002472065766644471
Cases_lag_6,0.002040598142970713
