Feature,Importance
Cases_lag_3,0.5064321513094902
Cases_lag_4,0.10306694764431738
Cases_lag_10,0.039234864157779194
Humidity,0.03773159708158936
Cases_lag_11,0.03546108702807354
Humidity_lag_4,0.023157858069439166
Humidity_lag_3,0.02224039377200104
Temperature,0.02174582325296253
Precipitation_lag_3,0.019114382849883347
Precipitation,0.017580641805561598
Precipitation_lag_4,0.016975394048602863
Temperature_lag_1,0.01665142963493569
Cases_lag_5,0.016438309846644093
Cases_lag_9,0.016339529963591337
Humidity_lag_1,0.015774116556220054
Temperature_lag_4,0.015409992407406708
Precipitation_lag_2,0.012424935939972933
Precipitation_lag_1,0.011545556577653165
Temperature_lag_2,0.010687739663868682
Cases_lag_8,0.00899876108423029
Cases_lag_6,0.008897400284964252
Cases_lag_7,0.008433494861517113
Humidity_lag_2,0.007830693383570099
Temperature_lag_3,0.00782689877572537
