Feature,Importance
Cases_lag_2,0.6136848570348057
Cases_lag_3,0.1158476157531832
Humidity_lag_4,0.0297355841385623
Cases_lag_4,0.026429074443675118
Cases_lag_9,0.023103553050964107
Humidity_lag_2,0.02278167409089886
Temperature_lag_4,0.021459196879904847
Humidity_lag_3,0.01875777124256892
Cases_lag_6,0.013414551997315399
Precipitation_lag_4,0.011857105353429351
Temperature_lag_1,0.010776452705846712
Precipitation_lag_3,0.009668197152519677
Humidity,0.009026192857237788
Cases_lag_7,0.008575150406836608
Temperature_lag_3,0.008242643968313913
Precipitation_lag_1,0.007364621604306209
Temperature,0.007133145699635467
Temperature_lag_2,0.006880612851926475
Cases_lag_10,0.00679658368131453
Cases_lag_5,0.006154519446980263
Precipitation,0.006034939692329672
Precipitation_lag_2,0.005773173386251959
Humidity_lag_1,0.004572091586874598
Cases_lag_8,0.0033309509810818773
Cases_lag_11,0.0025997399932365774
