Feature,Importance
Cases_lag_4,0.3518713835382672
Cases_lag_5,0.1149997971227449
Cases_lag_6,0.07866725784318253
Cases_lag_7,0.04466223944127593
Humidity_lag_3,0.04288523688892214
Humidity_lag_4,0.03816366599639217
Temperature_lag_4,0.0356646029376285
Humidity,0.028417820555692815
Temperature_lag_3,0.027789909899034664
Precipitation,0.025009032976890704
Humidity_lag_2,0.023554271409366313
Precipitation_lag_2,0.022941806805689986
Humidity_lag_1,0.021881049886677818
Cases_lag_9,0.020516411464401117
Precipitation_lag_1,0.020319389301241872
Cases_lag_8,0.018658572814278178
Cases_lag_10,0.015705148930299822
Precipitation_lag_4,0.013842453853617829
Precipitation_lag_3,0.013392438047071102
Cases_lag_11,0.011889811756450304
Temperature_lag_1,0.01090251824491203
Temperature_lag_2,0.009649538097829879
Temperature,0.008615642188132346
