Feature,Importance
Cases_lag_4,0.3869735228123141
Cases_lag_9,0.09667263005217498
Cases_lag_8,0.07352025777927404
Cases_lag_5,0.0398808388177627
Cases_lag_7,0.038436940454888324
Cases_lag_10,0.03733063351940828
Temperature_lag_3,0.03712182203066192
Temperature,0.029635793624870416
Humidity_lag_2,0.027518606499028247
Humidity,0.0257368420941468
Cases_lag_6,0.0236376742031776
Precipitation_lag_2,0.02277709820397416
Humidity_lag_3,0.021863595487078512
Precipitation_lag_3,0.02009981065183433
Humidity_lag_4,0.01814004683865964
Temperature_lag_4,0.014845275500235669
Precipitation_lag_1,0.013461265238122862
Humidity_lag_1,0.013300296147467383
Precipitation,0.013196252771074928
Cases_lag_11,0.012178902256717476
Precipitation_lag_4,0.011765810143892906
Temperature_lag_2,0.011386483775583578
Temperature_lag_1,0.010519601097650991
