Feature,Importance
Cases_lag_1,0.7595218904651858
Cases_lag_2,0.10411152796482692
Cases_lag_5,0.01212781104422242
Precipitation,0.009726631787641238
Cases_lag_4,0.009372612146953408
Cases_lag_3,0.008617959615354083
Temperature_lag_3,0.007409364745992732
Precipitation_lag_1,0.007047324409263869
Temperature_lag_4,0.006887424063007489
Humidity_lag_3,0.00650019046796361
Cases_lag_6,0.006216584642253856
Precipitation_lag_3,0.005400467937157179
Precipitation_lag_4,0.005348404242507287
Cases_lag_8,0.00519127110777118
Humidity_lag_1,0.0051629966676298746
Precipitation_lag_2,0.004772254957080264
Humidity,0.004643805783145079
Cases_lag_10,0.004150159630599021
Humidity_lag_4,0.004141009066150626
Cases_lag_7,0.003920702471767149
Cases_lag_9,0.0038262762646736758
Temperature_lag_1,0.0038214414712096022
Temperature_lag_2,0.0036128821419503035
Cases_lag_11,0.0033166964767439504
Humidity_lag_2,0.003294034094536169
Temperature,0.0018582763344134263
