Feature,Importance
Cases_lag_8,0.2861905916682698
Cases_lag_9,0.11378322649760954
Precipitation_lag_4,0.07192692921705121
Temperature,0.04990938717305863
Temperature_lag_4,0.04838386016813424
Temperature_lag_3,0.04544221502511322
Humidity,0.04539705343435089
Cases_lag_11,0.044307352689829105
Precipitation,0.044058680621173005
Humidity_lag_2,0.04005100202382163
Cases_lag_10,0.03560000734745393
Temperature_lag_2,0.027981713863733753
Temperature_lag_1,0.025513304043607757
Precipitation_lag_3,0.022967490626692916
Precipitation_lag_1,0.022517801688696264
Humidity_lag_3,0.021643344030974322
Humidity_lag_1,0.020284377157659208
Humidity_lag_4,0.01836585125970426
Precipitation_lag_2,0.01567581146306616
