Feature,Importance
Temperature_lag_4,0.23030935984827788
Humidity_lag_4,0.15180189642226063
Temperature_lag_1,0.08291022625838508
Humidity_lag_3,0.08035360637348193
Humidity,0.06965790945904074
Temperature_lag_3,0.056148019781240094
Precipitation_lag_2,0.05236501829638238
Humidity_lag_1,0.05213657709602006
Humidity_lag_2,0.043753134438979
Precipitation_lag_1,0.034831368602248246
Temperature_lag_2,0.03438384814507848
Temperature,0.030155409749544518
Precipitation_lag_4,0.029819933704787832
Precipitation_lag_3,0.029450486924314196
Precipitation,0.021923204899958974
