Feature,Importance
Cases_lag_2,0.6373307762902757
Cases_lag_3,0.05763322750310996
Cases_lag_8,0.036526391762730016
Cases_lag_11,0.030289465287562857
Cases_lag_6,0.029068936680258763
Cases_lag_4,0.025632152932498816
Cases_lag_5,0.024231608420109508
Cases_lag_10,0.023423981269284355
Humidity_lag_3,0.018826273028648345
Humidity_lag_4,0.013517391885332481
Temperature,0.013454815730189642
Cases_lag_7,0.012984016608758918
Precipitation_lag_4,0.011422508050521987
Precipitation_lag_2,0.009620907162683462
Cases_lag_9,0.009168989376274429
Precipitation_lag_3,0.00895060585382914
Temperature_lag_4,0.006324324857024598
Humidity,0.00557829637853101
Temperature_lag_3,0.005446436771337235
Humidity_lag_2,0.00430105364303015
Temperature_lag_2,0.0038050278122006816
Humidity_lag_1,0.0038022913284589867
Precipitation_lag_1,0.0032386827524254667
Precipitation,0.0029900374929025804
Temperature_lag_1,0.002431801122020832
