Feature,Importance
Cases_lag_1,0.7613871529761415
Cases_lag_2,0.06665532248292699
Temperature_lag_3,0.02674486359595994
Precipitation_lag_1,0.013516998235864268
Temperature_lag_2,0.011545665859137893
Cases_lag_10,0.007845924783075055
Cases_lag_6,0.00781529943441703
Temperature_lag_4,0.0076166750989241335
Temperature_lag_1,0.0075134876948343525
Precipitation_lag_3,0.007145824084750135
Precipitation,0.007011614323582958
Humidity_lag_3,0.006556318164201105
Temperature,0.006473244776515033
Cases_lag_5,0.006409937421429297
Humidity_lag_4,0.005879308467113271
Precipitation_lag_2,0.005868194296227162
Humidity,0.00553525844857842
Precipitation_lag_4,0.005293972553306739
Humidity_lag_1,0.0052104279820583185
Cases_lag_3,0.005186256695263574
Cases_lag_9,0.004922800631988236
Cases_lag_11,0.004242769474072542
Cases_lag_7,0.004148005660302147
Cases_lag_4,0.003876136792476067
Humidity_lag_2,0.0036391274849039384
Cases_lag_8,0.0019594125819499503
