Feature,Importance
Precipitation_lag_2,0.10431278625896963
Precipitation_lag_1,0.09718559389822555
Humidity,0.09285856949296437
Precipitation_lag_3,0.09244477089210507
Humidity_lag_1,0.07689752683934942
Precipitation_lag_4,0.0764469800072913
Precipitation,0.06369322629935882
Humidity_lag_4,0.06127565011141251
Temperature_lag_1,0.05429706663955183
Humidity_lag_3,0.05332467072886231
Temperature_lag_4,0.04991963027272331
Temperature,0.04909823984228694
Temperature_lag_3,0.04305141523149631
Humidity_lag_2,0.042930160796326895
Temperature_lag_2,0.04226371268907569
