Feature,Importance
Humidity,0.14638124971818228
Humidity_lag_1,0.11227661092127202
Temperature_lag_4,0.09023940522409951
Precipitation,0.08309408497802455
Precipitation_lag_4,0.06181113581454751
Humidity_lag_4,0.06177880385501422
Temperature,0.059169719205435393
Precipitation_lag_1,0.05774359182436087
Precipitation_lag_2,0.05600979924482727
Humidity_lag_2,0.05489673357390841
Humidity_lag_3,0.05326192030247556
Temperature_lag_1,0.04642454742585323
Temperature_lag_3,0.04484580297838478
Temperature_lag_2,0.04376434914226049
Precipitation_lag_3,0.028302245791353833
