Municipality,Latitude,Longitude
Ajuy,11.1246161,123.0113568
Alimodian,10.8773088,122.367428
Anilao,11.0002604,122.740723
Badiangan,10.9964817,122.5259596
Balasan,11.4592707,123.0901539
Banate,11.000592,122.8155554
Barotac Nuevo,10.9216153,122.740723
Barotac Viejo,11.0625316,122.8761309
Batad,11.4169972,123.1126559
Bingawan,11.2052871,122.593828
Cabatuan,10.9091869,122.5146439
Calinog,11.1457896,122.5146439
Carles,11.5687532,123.2363246
Passi City,11.1687967,122.650351
Concepcion,11.2147313,123.1044322
Dingle,11.0111309,122.650351
Dumangas,10.8484102,122.695547
Estancia,11.4619823,123.1463992
Guimbal,10.6686639,122.2994127
Igbaras,10.7162878,122.2649758
Janiuay,10.9987667,122.424074
Lambunao,11.077708,122.424074
Leganes,10.7916725,122.593828
Lemery,11.214412,122.9212265
Leon,10.8208599,122.3447611
Maasin,10.8914767,122.4333105
Miagao,10.6705468,122.1973081
Mina,10.9516879,122.5712101
New Lucena,10.8729712,122.5712101
Oton,10.7240176,122.4562615
Pavia,10.7603368,122.5259596
Pototan,10.9239245,122.6390489
San Dionisio,11.3101048,123.1014056
San Enrique,11.1098942,122.7294309
San Joaquin,10.5887998,122.1396745
San Rafael,11.1467423,122.831015
Santa Barbara,10.8166467,122.5485873
Sara,11.2932407,123.000095
Tigbauan,10.7283347,122.3787597
Tubungan,10.7893861,122.2767313
Zarraga,10.8283042,122.6164409
